date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-52-45,0,65,0,0,0,0,33,0,0,0,0
09-52-55,0,64,0,0,0,0,0,0,0,0,0
09-53-05,0,64,0,0,0,0,0,0,0,33,0
09-53-15,0,64,0,0,32,0,33,0,0,0,0
09-53-25,0,64,0,0,32,0,34,0,0,0,0
09-53-35,0,64,0,0,33,0,36,0,0,35,0
09-53-45,0,64,0,0,32,0,34,0,0,32,0
09-53-55,0,64,0,0,0,0,34,0,0,33,0
09-54-05,0,64,0,0,0,0,33,0,0,0,0
09-54-15,0,64,0,0,0,0,35,0,0,0,0
09-54-25,0,64,0,0,0,0,36,0,0,35,0
09-54-35,0,64,0,0,0,0,0,0,0,38,0
09-54-45,0,64,0,0,0,0,34,0,0,35,0
09-54-55,0,64,0,0,0,0,38,0,0,33,0
09-55-05,0,64,0,0,0,0,33,0,0,33,0
09-55-15,0,64,0,0,0,0,33,0,0,33,0
09-55-25,0,65,0,0,0,0,34,0,0,35,0
09-55-35,0,64,0,0,0,0,37,0,0,36,0
09-55-45,0,63,0,0,0,0,35,0,0,34,0
09-55-55,0,64,0,0,0,0,38,0,0,35,0
09-56-05,0,64,0,0,0,0,34,0,0,35,0
09-56-15,0,64,0,0,0,0,34,0,0,34,0
09-56-25,0,64,0,0,0,0,39,0,0,34,0
09-56-35,0,64,0,0,0,0,37,0,0,32,0
09-56-45,0,64,0,0,0,0,38,0,0,33,0
09-56-55,0,65,0,0,0,0,41,0,0,33,0
09-57-05,0,63,0,0,0,0,40,0,0,35,0
09-57-15,0,64,0,0,0,0,36,0,0,35,0
09-57-25,0,64,0,0,0,0,34,0,0,35,0
09-57-35,0,63,0,0,32,0,33,0,0,32,0
09-57-45,0,64,0,0,0,0,35,0,0,32,0
09-57-55,0,64,0,0,32,0,32,0,0,33,0
09-58-05,0,64,0,0,0,0,34,0,0,33,0
09-58-15,0,64,0,0,0,0,36,0,0,35,0
09-58-25,0,64,0,0,0,0,36,0,0,34,0
09-58-35,0,64,0,0,0,0,35,0,0,33,0
09-58-45,0,36,0,0,0,0,34,0,0,34,0
