date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin,Taj,Silas,Beatrice,Willa
09-31-45,0,39,44,38,34,40,0,32,0,0,0,0,0,34,47,0
09-31-55,0,32,36,32,32,0,0,0,0,0,0,0,0,33,36,0
09-32-25,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
09-32-35,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
09-32-45,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
09-35-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
09-36-05,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
09-36-15,0,0,0,0,0,0,34,0,0,0,0,0,0,0,32,0
09-36-25,0,0,0,0,0,0,34,0,0,0,0,0,0,0,46,0
09-36-35,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-36-45,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-38-25,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
09-38-35,0,0,0,0,0,0,36,0,0,0,0,0,0,0,34,0
09-38-45,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-38-55,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-39-05,0,0,0,0,0,0,35,0,0,0,0,0,0,0,32,0
09-39-15,0,0,0,0,34,0,34,0,0,0,0,0,0,0,0,0
09-39-25,0,0,0,0,36,0,35,0,0,0,0,0,0,0,0,0
09-39-35,0,0,0,0,33,0,33,0,0,0,0,0,0,0,0,0
09-39-45,0,0,0,0,39,0,33,0,0,0,0,0,0,0,0,0
09-39-55,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
09-40-25,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
09-40-35,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
09-40-55,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
09-41-25,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
09-41-35,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
09-41-45,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
09-45-35,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
09-46-45,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
09-48-35,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
09-48-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-48-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-54-45,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
09-54-55,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
09-55-25,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
09-55-35,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
09-55-45,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
09-55-55,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-56-05,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-56-15,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
09-56-25,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
09-56-35,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-56-45,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
09-56-55,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
09-57-05,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-57-15,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
09-57-25,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
09-57-35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
09-57-45,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
09-57-55,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
09-58-05,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-58-15,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-58-25,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
09-58-35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
09-58-45,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-58-55,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-59-05,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-59-15,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-59-25,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-59-35,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
09-59-45,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
09-59-55,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-00-05,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
10-00-15,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
10-00-25,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
10-00-35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
10-00-45,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-00-55,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-01-35,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
10-01-45,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
10-01-55,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
10-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
10-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
10-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0
10-02-35,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
10-02-45,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
10-02-55,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
10-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-03-35,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-04-35,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
10-04-45,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-04-55,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
10-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
10-05-25,0,0,0,33,0,0,0,0,0,0,0,0,0,44,0,0
10-05-35,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
10-05-45,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
10-05-55,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
10-06-15,0,0,34,0,0,0,0,0,0,0,0,0,0,34,0,0
10-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-06-35,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-06-55,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-07-05,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
10-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
10-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-07-35,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-07-45,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
10-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
10-09-35,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
10-09-45,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-09-55,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
10-10-15,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
10-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
10-11-35,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-11-45,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
10-12-15,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
10-13-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-13-35,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
10-13-55,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
10-14-05,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
10-14-15,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
10-14-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
10-14-45,0,0,0,0,0,34,0,0,0,0,0,0,0,0,33,0
10-15-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-15-15,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
10-15-25,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
10-15-35,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
10-15-45,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
10-15-55,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
10-16-15,0,0,0,0,0,33,0,0,0,0,0,0,0,0,38,0
10-16-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-16-45,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-17-15,0,0,0,0,32,39,0,0,0,0,0,0,0,0,38,0
10-17-25,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
10-17-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-18-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-18-25,0,0,0,0,0,0,0,0,0,0,32,32,0,0,32,0
10-18-35,0,0,0,0,0,0,0,0,0,0,32,32,0,0,32,0
10-18-45,0,0,0,0,0,0,0,0,0,0,0,33,0,0,32,0
10-18-55,0,0,0,0,0,0,0,0,0,0,0,32,0,0,35,0
10-19-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-19-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-19-25,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
10-19-45,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
10-19-55,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
10-20-05,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
10-20-15,0,0,0,0,0,0,0,0,0,0,0,32,0,0,37,0
10-20-25,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33,0
10-20-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-20-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-21-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
10-22-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
10-22-15,0,0,0,0,0,32,0,0,0,0,0,0,0,0,32,0
10-22-25,0,0,0,0,0,32,0,0,0,0,0,0,0,0,33,0
10-22-35,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-22-45,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
10-23-05,0,0,0,0,0,32,0,0,0,0,0,0,0,0,33,0
10-23-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-23-25,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
10-23-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-24-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
10-24-15,0,0,0,0,0,34,0,0,0,0,0,0,0,0,33,0
10-24-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-24-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-24-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
10-24-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
