date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-22-45,32,0,59,46,0,53,41,36,0,0,0,0,31,0,47,0
09-22-55,32,0,59,46,0,54,41,35,0,0,0,0,32,0,48,0
09-23-05,33,0,58,46,0,55,45,37,0,0,31,0,32,0,46,0
09-23-15,32,0,59,47,0,55,43,36,0,0,0,0,32,0,47,0
09-23-25,33,0,60,45,0,53,43,37,0,0,31,0,31,0,47,0
09-23-35,31,0,59,45,0,55,44,37,0,0,0,0,31,0,48,0
09-23-45,33,0,59,44,0,56,42,36,0,0,0,0,0,0,49,0
09-23-55,32,0,58,43,0,56,40,34,0,0,0,0,0,0,45,0
09-24-05,32,0,59,45,0,57,41,36,0,0,31,0,0,0,50,0
09-24-15,32,0,59,45,0,57,41,32,0,0,0,0,0,0,48,0
09-24-25,31,0,59,46,0,57,41,32,0,0,31,0,0,0,48,0
09-24-35,31,0,59,45,0,57,41,32,0,0,31,0,0,0,49,0
09-24-45,32,0,59,46,0,56,40,31,0,0,31,0,0,0,50,0
09-24-55,32,0,59,46,0,57,40,31,0,0,31,0,0,0,50,0
09-25-05,33,0,59,45,0,57,39,0,0,0,31,0,0,0,49,0
09-25-15,32,0,59,45,0,57,44,0,0,0,31,0,0,0,46,0
09-25-25,0,0,57,45,0,57,45,32,0,0,0,0,0,0,47,0
09-25-35,0,0,57,45,0,58,47,0,0,0,0,0,0,0,47,0
09-25-45,0,0,57,46,0,57,46,34,0,0,31,0,0,0,46,0
09-25-55,31,0,57,44,0,56,43,0,0,0,0,0,0,0,47,0
09-26-05,0,0,56,45,0,57,47,0,0,0,0,0,0,0,48,0
09-26-15,0,0,56,45,0,57,45,0,0,0,31,0,0,0,48,0
09-26-25,31,0,56,44,0,58,46,0,0,0,31,0,0,0,47,0
09-26-35,0,0,57,44,0,58,46,0,0,0,0,0,0,0,48,0
09-26-45,0,0,56,45,0,58,45,0,0,0,0,0,0,0,48,0
09-26-55,31,0,56,44,0,56,45,0,0,0,31,0,0,0,47,0
09-27-05,0,0,56,31,0,58,45,0,0,0,31,0,0,0,46,0
