date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
12-02-55,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
12-03-15,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
12-04-15,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
12-13-45,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
12-30-35,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
12-33-05,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
12-34-55,0,0,0,42,0,0,0,0,0,0,0,0,0,0,31,0
12-36-55,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
12-37-15,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-38-45,0,0,33,0,0,0,0,0,0,0,0,0,0,33,0,0
12-39-05,0,0,38,0,0,0,0,0,0,0,0,0,0,32,0,0
12-40-05,0,0,38,0,0,0,0,0,0,0,0,0,0,34,0,0
12-41-05,0,0,38,0,0,34,0,0,0,0,0,0,0,34,0,0
12-42-05,0,0,38,0,0,34,0,0,0,0,0,0,0,34,0,0
12-43-05,0,0,39,0,0,34,0,0,0,0,0,0,0,34,0,0
12-44-05,0,0,35,0,0,32,0,0,0,0,0,0,0,0,0,0
12-45-05,0,0,35,0,0,32,0,0,0,0,0,0,0,0,0,0
12-46-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-47-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-48-05,0,0,34,0,0,31,0,0,0,0,0,0,0,31,0,0
12-49-05,0,0,35,0,0,35,0,0,0,0,0,0,0,33,0,0
12-50-05,0,0,34,0,0,32,0,0,0,0,0,0,0,0,0,0
12-51-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
12-52-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
12-53-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
12-54-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-55-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-56-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-57-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
12-58-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
12-59-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
13-00-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
13-01-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-02-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-03-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-04-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
13-05-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-06-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-07-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-08-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-09-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
13-10-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
13-11-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-12-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-13-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-14-05,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0,0
13-15-05,0,0,35,0,0,32,0,0,0,0,0,0,0,31,0,0
13-16-05,0,0,39,0,0,37,0,0,0,0,0,0,0,35,0,0
13-17-05,0,0,40,0,0,37,0,0,0,0,0,0,0,35,0,0
13-18-05,0,0,43,0,0,33,0,0,0,0,0,0,0,36,31,0
13-19-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-20-05,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
13-21-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-22-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-23-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-24-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-25-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-26-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-27-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-28-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-29-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-30-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-31-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
13-32-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-33-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-34-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-35-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-36-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-37-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-38-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-39-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-40-05,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
13-41-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-42-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
13-43-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-44-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-45-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-46-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-47-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-48-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-49-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-50-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-51-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-52-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-53-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-54-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-55-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-56-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-57-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-58-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
13-59-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,0
14-00-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
14-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
