date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
13-01-05,0,0,53,30,0,0,0,33,0,0,34,0,0,47,47,0
13-02-05,0,0,52,30,0,0,0,33,0,0,33,0,29,47,48,0
13-03-05,0,0,54,31,0,0,0,33,0,0,33,0,29,47,48,0
13-04-05,0,0,53,32,0,0,0,32,0,0,34,0,29,47,48,0
13-05-05,0,0,53,32,0,0,0,32,0,0,33,0,29,47,48,0
13-06-05,0,0,54,31,0,0,0,33,0,0,33,0,30,47,48,0
13-07-05,0,0,54,32,0,0,0,33,0,0,33,0,29,47,48,0
13-08-05,0,0,54,32,0,0,0,32,0,0,33,0,29,47,48,0
13-09-05,0,0,53,31,0,0,0,33,0,0,34,0,30,47,48,0
13-10-05,0,0,54,32,0,0,0,33,0,0,33,0,29,47,48,0
13-11-05,0,0,54,31,0,0,0,33,0,0,33,0,29,47,48,0
13-12-05,0,0,54,32,0,0,0,32,0,0,33,0,29,47,48,0
13-13-05,0,0,54,32,0,0,0,33,0,0,33,0,30,47,48,0
13-14-05,0,0,53,31,0,0,0,33,0,0,33,0,29,47,48,0
13-15-05,29,0,54,32,0,0,0,32,0,0,0,0,30,48,48,0
13-16-05,34,0,54,34,0,0,0,31,0,0,31,0,30,43,50,0
13-17-05,34,0,54,33,0,0,0,29,0,0,32,0,0,46,50,0
13-18-05,30,0,46,30,0,0,0,33,0,0,0,0,0,37,49,0
13-19-05,0,0,36,0,0,0,0,0,0,0,31,0,0,30,29,0
13-20-05,0,0,33,0,0,0,0,0,0,0,31,0,31,30,32,0
13-25-25,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
13-32-25,0,0,0,0,0,0,0,30,0,0,0,0,0,0,31,0
13-33-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
13-34-05,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
13-35-15,0,0,36,0,0,0,0,0,0,0,0,0,0,32,30,0
13-36-05,0,0,0,0,0,0,0,0,0,0,32,0,0,0,33,0
13-39-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
13-40-05,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
13-43-15,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
13-44-25,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
13-45-05,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
13-46-05,0,0,34,0,0,0,0,0,0,0,0,0,0,30,0,0
13-47-15,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
13-48-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
13-49-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
13-50-05,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
13-51-05,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
13-52-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
13-53-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
13-55-05,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,0
13-56-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
13-59-15,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
14-04-15,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
14-08-45,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
14-10-15,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
14-24-25,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
14-42-45,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,0
14-43-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
14-44-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
14-45-05,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
14-46-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
14-47-35,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
14-48-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
14-49-05,0,0,33,0,0,0,0,0,0,0,0,0,0,29,32,0
14-50-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
14-51-25,0,0,35,0,0,0,0,0,0,0,0,0,0,0,31,0
14-52-05,0,0,32,42,0,0,0,0,0,0,0,0,0,0,30,0
14-53-15,0,0,32,0,0,0,0,0,0,0,0,0,0,0,33,0
14-54-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
14-55-05,34,0,54,44,0,0,0,35,0,0,30,0,0,45,50,0
14-56-05,34,0,54,45,0,0,0,35,0,0,29,0,0,45,49,0
14-57-05,35,0,54,46,0,0,0,35,0,0,0,0,0,46,49,0
14-58-05,35,0,54,46,0,0,0,38,0,0,30,0,38,48,50,0
14-59-05,35,0,55,46,0,0,0,37,0,0,29,0,38,47,49,0
15-00-05,35,0,55,46,0,0,0,37,0,0,0,0,38,47,49,0
15-01-05,35,0,55,45,0,0,0,37,0,0,0,0,38,46,50,51
15-02-05,35,0,55,45,0,0,0,37,0,0,0,0,38,47,49,0
15-03-05,35,0,55,45,0,0,0,39,0,0,0,0,38,47,50,0
15-04-05,35,0,54,48,0,0,0,38,0,0,0,0,38,47,50,0
15-05-05,35,0,54,46,0,0,0,37,0,0,29,0,38,46,50,0
15-06-05,35,0,54,47,0,0,0,39,0,0,0,0,38,46,50,0
15-07-05,35,0,54,47,0,0,0,37,0,0,0,0,38,47,49,0
15-08-05,35,0,54,47,0,0,0,38,0,0,0,0,38,47,49,0
15-09-05,35,0,54,46,0,0,0,39,0,0,0,0,38,46,50,0
15-10-05,35,0,54,47,0,0,0,38,0,0,0,0,38,48,48,0
15-11-05,35,0,55,46,0,0,0,38,0,0,0,0,38,47,50,0
15-12-05,0,0,54,47,0,0,0,37,0,0,0,0,37,46,48,0
15-13-05,0,0,55,46,0,0,0,38,0,0,0,0,38,46,49,0
15-14-05,0,0,54,46,0,0,0,38,0,0,0,0,38,46,49,0
15-15-05,0,0,54,46,0,0,0,38,0,0,0,0,38,47,49,0
15-16-05,0,0,55,46,0,0,0,38,0,0,0,0,38,47,49,0
15-17-05,0,0,54,46,0,0,0,39,0,0,0,0,38,48,50,0
15-18-05,0,0,54,46,0,0,0,39,0,0,0,0,38,48,49,0
15-19-05,0,0,55,45,0,0,0,38,0,0,0,0,38,47,49,0
