date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
09-58-35,0,0,0,0,0,31,0,0,0,31,31
09-58-45,0,0,0,0,31,38,33,0,0,32,31
09-58-55,0,0,0,0,31,47,32,0,0,0,0
09-59-05,0,0,0,0,32,52,38,0,0,31,0
09-59-15,0,0,0,0,31,33,41,0,0,0,0
09-59-25,0,0,0,0,31,43,37,0,0,31,31
09-59-35,0,0,0,0,31,48,33,0,0,0,0
09-59-45,0,0,0,0,0,42,32,0,0,0,0
09-59-55,0,0,0,0,0,50,33,0,0,0,0
10-00-05,0,0,0,0,0,51,37,0,0,0,0
10-00-15,0,0,0,0,0,45,33,0,0,0,0
10-00-25,0,0,0,0,0,44,33,0,0,0,0
10-00-35,0,0,0,0,34,32,31,0,0,34,34
10-00-45,0,0,0,0,33,0,0,0,0,0,0
10-00-55,0,32,0,0,0,0,0,0,0,0,0
10-01-05,0,0,0,0,32,31,32,0,0,36,32
10-01-15,0,0,0,0,31,33,32,0,0,42,0
10-01-25,0,0,0,0,31,33,33,0,0,41,36
10-01-35,0,0,0,0,0,51,36,0,0,0,0
10-01-45,0,0,0,0,0,40,37,0,0,0,0
10-01-55,0,0,0,0,0,45,39,0,0,0,0
10-02-05,0,0,0,0,31,43,32,0,0,0,0
10-02-15,0,0,0,0,0,41,36,0,0,32,33
10-02-25,0,0,0,0,33,31,0,0,0,32,32
10-02-35,0,0,0,0,0,31,33,0,0,32,0
10-02-45,0,0,0,0,0,33,32,0,0,0,0
10-02-55,0,0,0,0,31,31,36,0,0,38,32
10-03-05,0,0,0,0,0,32,36,0,0,0,0
10-03-15,0,0,0,0,0,35,34,0,0,0,34
10-03-25,0,0,0,0,0,51,36,0,0,0,31
10-03-35,0,0,0,0,37,34,33,0,0,35,31
10-03-45,0,0,0,0,31,0,32,0,0,31,33
10-03-55,0,0,0,0,32,33,32,0,0,31,36
10-04-05,0,0,0,0,31,35,35,0,0,31,0
10-04-15,0,0,0,0,32,35,42,0,0,0,32
10-04-25,0,0,0,0,32,46,39,0,0,0,0
10-04-35,0,0,0,0,0,54,36,0,0,0,32
10-04-45,0,0,0,0,0,48,34,0,0,0,0
10-04-55,0,0,0,0,0,39,35,0,0,0,31
10-05-05,0,0,0,0,0,36,38,0,0,0,32
10-05-15,0,0,0,0,0,32,32,0,0,33,0
10-05-25,0,0,0,0,0,0,31,0,0,37,0
10-05-35,0,0,0,0,0,0,32,0,0,0,0
10-05-55,0,0,0,0,0,32,33,0,0,32,0
10-06-05,0,0,0,0,0,32,34,0,0,32,0
10-06-15,0,0,0,0,0,36,34,0,0,0,31
10-06-25,0,0,0,0,0,34,33,0,0,31,0
10-06-35,0,0,0,0,0,34,35,0,0,33,0
10-06-45,0,0,0,0,0,34,32,0,0,0,0
10-06-55,0,0,0,0,0,33,31,0,0,0,34
10-07-05,0,0,0,0,0,34,31,0,0,31,0
10-07-15,0,0,0,0,0,32,0,0,0,31,0
10-07-25,0,0,0,0,0,32,0,0,0,31,0
10-07-35,0,34,0,0,0,32,0,0,0,32,0
10-07-45,0,32,0,0,0,32,0,0,0,32,0
10-07-55,0,33,0,0,0,32,0,0,0,32,0
10-08-05,0,34,0,0,0,31,0,0,0,32,0
10-08-15,0,41,0,0,0,32,0,0,0,31,0
10-08-25,0,34,0,0,0,32,0,0,0,0,0
10-08-35,0,36,0,0,0,33,0,0,0,0,0
10-08-45,0,32,0,0,0,31,0,0,0,31,0
10-08-55,0,32,0,0,0,34,0,0,0,0,0
10-09-05,0,31,0,0,0,32,0,0,0,0,0
10-09-15,0,32,0,0,0,34,31,0,0,0,0
10-09-25,0,33,0,0,32,35,32,0,0,0,0
10-09-35,0,32,0,0,32,33,32,0,0,0,0
10-09-45,0,32,0,0,32,34,32,0,0,0,0
10-09-55,0,33,0,0,32,32,32,0,0,0,0
10-10-05,0,32,0,0,31,33,32,0,0,31,0
10-10-15,0,33,0,0,0,32,32,0,0,0,0
10-10-25,0,53,0,0,0,32,31,0,0,32,0
10-10-35,0,56,0,0,0,32,34,0,0,31,0
10-10-45,0,55,0,0,0,32,34,0,0,0,31
10-10-55,0,50,0,0,31,32,31,0,0,0,32
10-11-05,0,57,0,0,0,31,32,0,0,0,32
10-11-15,0,56,0,0,0,31,32,0,0,0,33
10-11-25,0,55,0,0,0,32,0,0,0,31,33
10-11-35,0,56,0,0,0,32,0,0,0,31,31
10-11-45,0,57,0,0,31,31,37,0,0,0,0
10-11-55,0,55,0,0,31,31,32,0,0,33,0
10-12-05,0,53,0,0,36,31,32,0,0,32,0
10-12-15,0,54,0,0,35,33,35,0,0,31,0
10-12-25,0,56,0,0,34,32,32,0,0,36,0
10-12-35,0,57,0,0,32,33,34,0,0,32,0
10-12-45,0,56,0,0,0,33,32,0,0,32,0
10-12-55,0,58,0,0,0,33,32,0,0,32,0
10-13-05,0,57,0,0,0,32,31,0,0,0,0
10-13-15,0,53,0,0,0,33,39,0,0,0,0
10-13-25,0,54,0,0,0,35,32,0,0,0,0
10-13-35,0,54,0,0,0,36,34,0,0,0,0
10-13-45,0,54,0,0,0,36,32,0,0,0,0
10-13-55,0,55,0,0,0,34,32,0,0,0,0
10-14-05,0,52,0,0,0,33,32,0,0,0,0
10-14-15,0,55,0,0,0,32,31,0,0,0,0
10-14-25,0,55,0,0,0,32,32,0,0,32,0
10-14-35,0,54,0,0,0,32,32,0,0,0,0
10-14-45,0,53,0,0,0,33,31,0,0,32,0
10-14-55,0,59,0,0,0,32,0,0,0,0,0
10-15-05,0,61,0,0,0,33,35,0,0,32,0
10-15-15,0,60,0,0,0,32,0,0,0,0,0
10-15-25,0,61,0,0,0,33,0,0,0,0,0
10-15-35,0,62,0,0,0,33,0,0,0,0,0
10-15-45,0,63,0,0,0,0,0,0,0,0,0
10-15-55,0,64,0,0,0,0,0,0,0,0,0
10-16-05,0,62,0,0,0,0,0,0,0,0,0
10-16-15,0,61,0,0,0,31,0,0,0,0,0
