date,Alice,Bob,Chris,Dave,Eliza,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter,Quinn
12-15-05,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
12-16-05,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
12-17-05,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
12-18-05,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
12-19-05,0,0,0,0,0,0,36,0,38,0,0,0,0,0,0,0
12-20-05,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
12-21-05,0,0,0,0,0,0,0,0,36,0,0,0,0,32,0,0
12-22-05,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
12-23-05,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
12-24-05,0,0,0,0,36,0,0,0,33,0,0,0,0,0,0,0
12-25-05,0,0,0,0,36,0,0,0,36,0,0,0,0,0,0,0
12-26-05,0,0,0,0,36,0,0,0,33,0,0,0,0,0,0,0
12-27-05,0,0,0,0,38,0,0,0,38,0,0,0,0,0,0,0
12-28-05,0,0,0,0,38,0,32,0,37,0,0,0,0,0,0,0
12-29-05,0,0,0,0,38,0,36,0,39,0,0,0,0,35,0,0
12-30-05,0,0,0,0,39,0,32,0,40,0,0,0,0,0,0,0
12-31-05,0,0,0,0,39,0,34,0,39,0,0,0,0,0,0,0
12-32-05,0,0,0,0,38,0,34,0,40,0,0,0,0,0,0,0
12-33-05,0,0,0,0,38,0,0,0,32,0,0,0,0,0,0,0
12-34-05,0,0,0,0,38,0,32,0,0,0,32,0,0,39,0,0
12-35-05,0,0,0,0,33,0,32,0,0,0,0,0,0,56,0,0
12-36-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
12-37-05,0,0,0,0,33,0,0,0,32,0,0,0,0,55,0,0
12-38-05,0,0,0,0,33,0,0,0,32,0,0,0,0,56,0,0
12-39-05,0,0,0,0,33,0,0,0,32,0,0,0,0,55,0,0
12-40-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
12-41-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
12-42-05,0,0,0,0,33,0,0,0,33,0,0,0,0,56,0,0
12-43-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
12-44-05,0,0,0,0,33,0,0,0,0,0,0,0,0,55,0,0
12-45-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
12-46-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
12-47-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
12-48-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
12-49-05,0,0,0,0,33,0,0,0,0,0,0,0,0,55,0,0
12-50-05,0,32,0,0,33,0,32,0,33,0,0,0,0,56,0,0
12-51-05,0,0,0,0,33,0,0,0,33,0,0,0,0,56,0,0
12-52-05,0,0,0,0,33,0,34,0,32,0,0,0,0,56,0,0
12-53-05,0,32,0,0,33,0,32,0,0,0,0,0,0,55,0,0
12-54-05,0,0,0,32,33,0,33,0,0,0,0,0,0,56,0,0
12-55-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
12-56-05,0,0,0,0,33,0,0,0,0,0,0,0,0,56,0,0
12-57-05,0,0,0,32,33,0,0,0,0,0,0,0,0,56,0,0
12-58-05,0,0,0,0,33,0,0,0,0,0,0,0,0,55,0,0
12-59-05,0,0,0,0,33,0,0,0,0,0,0,0,0,55,0,0
13-00-05,0,0,0,0,33,0,0,0,32,0,0,0,0,56,0,0
13-01-05,0,0,0,0,33,0,32,0,0,0,0,0,0,55,0,0
