date,Uriah,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-39-21,43,0,49,0,0,60,0,0,0,40,0,0,0,59,31,0
09-39-31,42,0,49,0,0,59,31,0,0,0,0,0,0,61,32,0
09-39-41,41,0,50,0,0,58,0,0,0,45,0,0,0,60,0,0
09-39-51,40,0,49,0,0,58,0,0,0,44,0,0,0,60,44,0
09-40-01,39,0,50,0,0,57,0,0,0,44,0,0,0,61,0,0
09-40-11,42,0,46,0,0,57,0,0,0,43,0,0,0,60,0,0
09-40-21,37,0,50,31,0,58,0,0,0,42,0,0,0,61,0,0
09-40-31,43,0,0,0,0,57,0,0,0,45,0,0,0,61,0,0
09-40-41,44,0,47,0,0,59,0,0,0,43,0,0,0,60,0,0
09-40-51,44,0,0,0,0,57,0,0,0,39,0,0,0,60,0,0
09-41-01,43,0,42,0,0,58,0,0,0,42,0,0,0,60,38,0
09-41-11,0,0,49,0,0,55,31,0,0,43,0,0,0,60,31,0
09-41-21,0,0,43,0,0,56,31,0,0,38,0,0,0,58,0,0
09-41-31,0,0,44,0,0,56,0,0,0,37,0,0,0,57,31,0
09-41-41,0,0,43,0,0,57,0,0,0,44,0,0,0,57,0,0
09-41-51,39,0,48,0,0,62,0,0,0,34,0,0,0,58,0,0
09-42-01,31,0,51,0,0,59,0,0,0,39,0,0,0,58,36,0
09-42-11,0,0,47,0,0,59,0,0,0,42,0,0,0,57,0,0
09-42-21,0,0,49,0,0,60,0,0,0,38,0,0,0,57,0,0
09-42-31,0,0,50,0,0,60,0,0,0,39,0,0,0,57,0,0
09-42-41,0,0,49,0,0,60,0,0,0,39,0,0,0,57,0,0
09-42-51,0,0,49,0,0,60,0,0,0,33,0,0,0,57,0,0
09-43-01,0,0,50,0,0,60,0,0,0,36,0,0,0,55,0,0
09-43-11,0,0,49,0,0,60,0,0,0,33,0,0,0,56,0,0
09-43-21,0,0,48,0,0,60,0,0,0,31,0,0,0,56,0,0
09-43-31,0,0,43,0,0,59,0,0,0,32,0,0,0,57,0,0
09-43-41,0,0,49,0,0,60,0,0,0,31,0,0,0,57,0,0
09-43-51,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-44-01,0,0,50,0,0,60,0,0,0,0,0,0,0,57,0,0
09-44-11,0,0,49,0,0,60,33,0,0,0,0,0,0,56,0,0
09-44-21,0,0,47,0,0,60,31,0,0,0,0,0,0,57,0,0
09-44-31,0,0,49,0,0,60,0,0,0,0,0,0,0,58,0,0
09-44-41,0,0,48,0,0,61,0,0,0,0,0,0,0,57,0,0
09-44-51,0,0,49,0,0,58,0,0,0,0,0,0,0,56,0,0
09-45-01,0,0,47,0,0,60,0,0,0,0,0,0,0,57,0,0
09-45-11,0,0,49,0,0,60,0,0,0,0,0,0,0,58,0,0
09-45-21,0,0,49,0,0,60,0,0,0,0,0,0,0,56,0,0
09-45-31,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-45-41,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-45-51,0,0,49,0,0,60,0,0,0,0,0,0,0,56,0,0
09-46-01,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-46-11,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-46-21,0,0,49,0,0,60,0,0,0,0,0,0,0,57,0,0
09-46-31,0,0,49,0,0,60,0,0,0,0,0,0,0,58,0,0
09-46-41,0,0,47,0,0,60,0,0,0,0,0,0,0,57,0,0
09-46-51,0,0,49,0,0,59,0,0,0,0,0,0,0,57,0,0
09-47-01,0,0,48,0,0,60,0,0,0,0,0,0,0,57,0,0
