date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
12-17-31,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
12-17-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-18-01,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
12-18-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-18-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-18-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-18-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-18-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-19-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-19-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-19-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-19-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-19-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-19-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-20-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-20-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-20-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-20-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-20-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-20-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-21-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-21-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-21-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-21-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-21-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-21-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-22-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-22-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-22-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-22-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-22-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-23-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-23-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-23-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-23-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-23-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-23-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-24-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-24-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-24-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-24-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-24-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-25-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-25-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-25-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-25-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-25-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-25-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-26-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-26-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-26-21,0,0,0,0,0,0,31,0,0,0,0,0,0,33,0,0
12-26-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-26-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-26-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-27-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-27-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-27-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-27-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-27-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-28-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-28-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-28-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-28-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-28-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-28-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-29-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-29-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-29-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-29-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-29-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-29-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-30-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-30-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-30-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-30-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-30-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-30-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-31-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-31-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-31-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-31-31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-31-41,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-31-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-32-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-32-11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-32-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-32-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-32-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-32-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-33-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-33-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-33-21,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-33-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-33-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-33-51,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
12-34-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-34-11,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
12-34-21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-34-31,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-34-41,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-34-51,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-35-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
12-35-11,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
