date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Mary,Erin,Taj,Silas,Beatrice,Willa
09-37-21,0,39,47,0,0,50,0,0,0,0,0,0,0,50,0,0
09-37-31,0,38,47,0,0,50,32,0,0,0,0,0,0,48,0,0
09-37-41,0,40,45,0,0,47,0,0,0,0,0,0,0,47,0,0
09-37-51,0,38,47,0,0,48,0,0,0,0,0,0,0,47,0,0
09-38-01,0,42,39,0,0,46,35,0,0,0,0,0,0,43,0,0
09-38-11,0,41,44,0,0,47,0,0,0,0,0,0,0,45,0,0
09-38-21,0,44,47,0,0,41,0,0,0,0,0,0,0,52,0,0
09-38-31,0,34,48,0,0,46,0,0,0,0,0,0,0,49,0,0
09-38-41,0,45,40,0,0,44,0,0,0,0,0,0,0,49,0,0
09-38-51,0,45,38,0,0,39,0,0,0,0,0,0,0,48,0,0
09-39-01,0,38,45,35,0,42,0,0,0,0,0,0,0,50,34,0
09-39-11,0,43,47,0,0,44,0,0,0,0,0,0,0,54,39,0
09-39-21,0,40,44,0,0,50,0,0,0,0,0,0,0,45,37,0
09-39-31,0,42,45,0,0,48,0,0,0,0,0,0,0,51,39,0
09-39-41,0,46,42,0,0,44,0,0,0,0,0,0,0,49,0,0
09-39-51,0,45,42,32,0,49,0,0,0,0,0,0,0,51,44,0
09-40-01,0,43,44,32,0,45,0,0,0,0,0,0,0,52,36,0
09-40-11,0,44,41,42,0,49,0,0,0,0,0,0,0,52,0,0
09-40-21,0,44,46,0,0,46,0,0,0,0,0,0,0,52,0,0
09-40-31,0,45,46,0,0,48,0,0,0,0,0,0,0,52,37,0
09-40-41,0,43,43,0,0,0,34,0,0,0,0,0,0,38,36,0
09-40-51,0,40,0,0,0,50,0,0,0,0,0,0,0,47,34,0
09-41-01,0,41,41,0,0,51,0,0,0,0,0,0,0,50,38,0
09-41-11,0,44,44,0,0,51,0,0,0,0,0,0,0,45,0,0
09-41-21,0,40,48,0,0,48,0,0,0,0,0,0,0,50,0,0
09-41-31,0,39,50,0,0,47,0,0,0,0,0,0,0,50,0,0
09-41-41,0,42,48,0,0,36,0,0,0,0,0,0,38,0,37,0
09-41-51,0,35,40,0,0,42,0,0,0,0,0,0,0,43,0,0
09-42-01,0,39,35,0,0,41,0,0,0,0,0,0,0,41,32,0
09-42-11,0,42,0,0,0,41,0,0,0,0,0,0,0,38,0,0
09-42-21,0,40,36,0,0,35,32,0,0,0,0,0,0,43,0,0
09-42-31,0,39,33,0,0,33,44,0,0,0,0,0,0,44,0,0
09-42-41,0,41,40,0,0,42,0,0,0,0,0,0,0,35,0,0
09-42-51,0,35,41,0,0,39,0,0,0,0,0,0,0,33,0,0
09-43-01,0,35,38,0,0,34,0,0,0,0,0,0,0,34,0,0
09-43-11,0,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0
09-43-21,0,0,33,0,0,32,0,0,0,0,0,0,0,34,0,0
09-43-31,0,33,37,0,0,41,40,0,0,0,0,0,0,34,0,0
09-43-41,0,0,32,0,0,33,34,0,0,0,0,0,0,39,0,0
09-43-51,0,0,0,0,0,0,40,0,0,0,0,0,0,0,33,0
09-44-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
09-44-11,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
09-44-21,0,0,0,32,0,0,0,0,0,0,0,0,0,0,32,0
09-44-41,0,0,0,0,0,0,37,0,0,0,0,0,0,0,37,0
09-44-51,0,0,0,39,0,0,35,0,0,0,0,0,0,38,0,0
09-45-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-45-51,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-46-21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-47-51,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
09-48-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
09-48-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
09-48-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
09-48-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
09-48-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
09-49-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
09-49-11,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
09-49-21,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
09-49-31,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
09-49-41,0,0,0,0,0,0,0,0,34,0,0,0,48,0,0,0
09-49-51,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
09-50-01,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
09-50-51,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
09-51-31,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
09-51-41,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
09-52-01,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
09-52-11,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
09-52-21,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
09-52-41,0,0,0,0,0,0,0,34,0,0,0,0,32,0,0,0
09-52-51,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
09-53-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-53-11,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
09-53-51,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
09-54-01,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
09-54-11,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
09-54-21,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
09-54-51,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
