date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice
15-02-01,0,47,0,43,0,0,0,0,0,0,0,0,0,0,39,0
15-03-01,0,47,0,44,0,0,0,0,0,0,0,0,0,0,39,0
15-04-01,0,47,0,43,0,36,0,0,0,0,0,0,0,0,0,0
15-05-01,0,47,0,42,0,37,0,0,0,0,0,0,0,0,0,0
15-06-01,0,47,0,42,0,38,0,0,0,0,0,0,0,0,0,0
15-07-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,0,0
15-08-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,37,0
15-09-01,0,46,0,42,0,0,0,0,0,0,0,0,0,0,0,0
15-10-01,0,48,0,42,0,35,0,0,0,0,0,0,0,0,0,0
15-11-01,0,47,0,43,0,37,0,0,0,0,0,0,0,0,35,0
15-12-01,0,47,0,42,0,35,0,0,0,0,0,0,0,0,35,0
15-13-01,0,47,0,43,0,37,0,0,0,0,0,0,0,0,0,0
15-14-01,0,48,0,0,0,35,0,0,0,0,0,0,0,0,0,0
15-15-01,0,47,0,43,0,37,0,0,0,0,0,0,0,0,35,0
15-16-01,0,48,0,42,0,39,0,0,0,0,0,0,0,0,35,0
15-17-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,0,0
15-18-01,0,47,0,42,0,38,0,0,0,0,0,0,0,0,35,0
15-19-01,0,47,0,41,0,38,0,0,0,0,0,0,0,0,0,0
15-20-01,0,47,35,42,0,39,0,0,0,0,0,0,0,0,0,0
15-21-01,0,47,0,42,0,39,0,0,0,0,0,0,0,0,0,0
15-22-01,0,48,0,43,0,35,0,0,0,0,0,0,0,0,37,0
15-23-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,0,0
15-24-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,0,0
15-25-01,0,48,0,42,0,0,0,0,0,0,0,0,0,0,0,0
15-26-01,0,47,0,40,0,37,0,0,0,0,0,0,0,0,35,0
15-27-01,0,47,0,43,0,0,0,0,0,0,0,0,0,0,0,0
15-28-01,0,48,0,41,0,0,0,0,0,0,0,0,0,0,0,0
15-29-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,37,0
15-30-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,35,0
15-31-01,0,47,0,43,0,0,0,0,0,0,0,0,0,0,0,0
15-32-01,0,47,0,42,0,37,0,0,0,0,0,0,0,0,0,0
15-33-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,0,0
15-34-01,0,47,0,43,0,35,0,0,0,0,0,0,0,0,36,0
15-35-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,35,0
15-36-01,0,48,0,42,0,0,0,0,0,0,0,0,0,0,36,0
15-37-01,0,47,0,43,0,0,0,0,0,0,0,0,0,0,37,0
15-38-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,37,0
15-39-01,0,47,0,44,0,0,0,0,0,0,0,0,0,0,0,0
15-40-01,0,47,0,43,0,0,0,0,0,0,0,0,0,0,36,37
15-41-01,0,48,0,41,0,0,0,0,0,0,0,0,0,0,35,0
15-42-01,0,48,0,42,0,36,0,0,0,0,0,0,0,0,0,0
15-43-01,0,46,0,41,0,37,0,0,0,0,0,0,0,0,0,0
15-44-01,0,48,0,42,0,35,0,0,0,0,0,0,0,0,0,0
15-45-01,0,47,0,40,0,38,0,0,0,0,0,0,0,0,37,0
15-46-01,0,47,0,42,0,38,0,0,0,0,0,0,0,0,36,0
15-47-01,0,47,0,42,0,37,0,0,0,0,0,0,0,0,0,0
15-48-01,0,47,0,42,0,39,0,0,0,0,0,0,0,0,37,0
15-49-01,0,47,0,41,0,37,0,0,0,0,0,0,0,0,35,0
15-50-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,35,0
15-51-01,0,47,0,43,0,38,0,0,0,0,0,0,0,0,0,0
15-52-01,0,47,0,43,0,0,0,0,0,0,0,0,0,0,0,0
15-53-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,35,0
15-54-01,0,47,0,43,0,37,0,0,0,0,0,0,0,0,35,0
15-55-01,0,47,0,42,0,0,0,0,0,0,0,0,0,0,36,0
15-56-01,0,47,0,43,0,37,0,0,0,0,0,0,0,0,0,0
15-57-01,0,47,0,42,0,38,0,0,0,0,0,0,0,0,36,0
15-58-01,0,47,0,42,0,38,0,0,0,0,0,0,0,0,0,0
15-59-01,0,47,0,43,0,39,0,0,0,0,0,0,0,0,35,0
