date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Willa
10-15-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10-15-51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-16-21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-16-41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-17-51,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-18-11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-18-31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-18-41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-18-51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-19-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-19-11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-19-21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-19-31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-11,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-51,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-21-01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
