date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
15-45-01,0,39,0,0,0,0,0,0,0,0,0,0,0,33,0,0
15-46-01,0,39,0,0,0,0,0,0,0,0,0,0,0,34,0,0
15-47-01,0,40,0,0,0,0,0,0,0,0,0,0,0,31,0,0
15-48-01,0,39,0,0,0,0,0,0,0,0,0,0,0,32,0,0
15-49-01,0,40,0,0,0,31,0,0,0,0,0,0,0,33,0,0
15-50-01,0,40,0,0,0,0,0,0,0,0,0,0,0,31,0,0
15-51-01,0,40,0,0,0,0,0,0,0,0,0,0,0,33,0,0
15-52-01,0,40,0,0,0,0,0,0,0,0,0,0,0,31,0,0
15-53-01,0,40,31,0,0,0,0,0,0,0,0,0,0,35,0,0
15-54-01,0,41,31,0,0,0,0,0,0,0,0,0,0,33,0,0
15-55-01,0,40,0,0,0,0,0,0,0,0,0,0,0,31,0,0
15-56-01,0,40,0,0,0,0,0,0,0,0,0,0,0,32,0,0
15-57-01,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-58-01,0,39,0,0,0,0,0,0,0,0,0,0,0,33,0,0
15-59-01,0,40,0,0,0,0,0,0,0,0,0,0,0,31,0,0
16-07-08,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
16-50-23,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
16-51-21,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
16-71-12,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
16-72-61,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
16-73-03,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
