date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
09-57-51,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-58-01,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-58-11,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-58-21,0,56,52,0,0,59,0,0,0,0,0,0,0,0,0,0
09-58-31,0,56,57,0,0,58,0,0,0,0,0,0,0,0,0,0
09-58-41,0,56,56,0,0,58,0,0,0,0,0,0,0,0,31,0
09-58-51,0,55,55,0,0,58,0,0,0,0,0,0,0,0,31,0
09-59-01,0,56,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-59-11,0,55,56,0,0,57,0,0,0,0,0,0,0,0,0,0
09-59-21,0,55,56,0,0,58,0,0,0,0,0,0,0,0,0,0
09-59-31,0,56,55,0,0,59,0,0,0,0,0,0,0,0,32,0
09-59-41,0,56,56,33,0,58,0,0,0,0,0,0,0,0,0,0
09-59-51,0,56,56,35,0,57,0,0,0,0,0,0,0,0,0,0
