date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
10-43-21,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-43-41,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
10-43-51,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-44-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-51-01,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-51-31,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-51-51,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-52-01,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-52-51,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-53-01,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-53-11,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-53-21,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-53-31,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-53-41,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-53-51,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-54-01,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-54-11,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-54-21,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-54-31,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-54-41,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-54-51,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-55-01,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-55-11,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-55-21,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-55-31,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-55-41,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-55-51,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-56-01,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-56-11,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-56-21,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-56-31,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-56-41,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-56-51,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-57-01,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-57-11,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-57-21,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-57-31,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-57-41,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-57-51,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-58-01,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-58-11,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-58-21,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-58-31,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-58-41,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-58-51,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-59-01,0,38,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10-59-11,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-59-21,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-59-31,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-59-41,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-59-51,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-00-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-00-31,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-00-41,0,38,0,0,0,0,50,0,0,0,0,0,0,0,0,0
11-00-51,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-01-21,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
11-01-31,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-01-41,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-01-51,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-01,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-11,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-21,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-31,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-41,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-02-51,0,39,38,0,0,0,0,0,0,0,0,0,0,0,0,0
11-03-11,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-03-21,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-03-31,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-04-31,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
11-05-11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
11-05-41,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
11-06-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-06-11,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-06-21,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-06-31,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
11-06-51,0,0,0,0,0,0,0,0,0,43,0,0,0,38,0,0
11-07-01,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-07-11,0,0,0,0,0,0,0,0,0,44,0,0,0,38,0,0
11-09-01,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
11-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
11-13-41,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-14-11,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
11-14-21,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
11-14-31,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-14-41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-15-01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-21-31,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
11-22-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-24-01,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-24-21,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0
11-26-41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,39,0
11-30-21,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
11-30-31,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
11-32-11,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
