date,Uriah,Veylan,Sofi,Neve,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
15-25-01,0,33,0,34,0,0,0,0,0,0,0,0,0,0,0,0
15-26-01,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-27-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-28-01,0,33,0,34,0,0,0,0,0,0,0,0,0,0,0,0
15-29-01,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-30-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-31-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-32-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-33-01,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-34-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-35-01,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
15-36-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-37-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-38-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-39-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-40-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-41-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-42-01,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-43-01,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-44-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-45-01,0,33,0,34,0,0,0,0,0,0,0,0,0,33,0,0
15-46-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-47-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-48-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-49-01,0,0,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-50-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-51-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-52-01,0,34,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-53-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-54-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-55-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
15-56-01,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-57-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
15-58-01,0,33,0,34,0,0,0,0,0,0,0,0,0,0,0,0
15-59-01,0,33,0,33,0,0,0,0,0,0,0,0,0,33,0,0
