date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
11-16-01,0,37,0,0,0,33,0,0,0,33,0,0,0,51,0,0
11-17-01,0,40,0,0,0,34,0,0,0,41,0,0,0,0,0,0
11-18-01,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
11-19-01,0,40,0,0,0,0,0,0,0,0,0,0,0,45,33,0
11-20-01,0,47,0,0,0,34,0,0,0,37,0,0,0,39,0,0
11-21-01,0,33,0,0,0,0,0,0,0,33,0,0,0,34,0,0
11-22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-23-01,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
11-24-01,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
11-25-01,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0
11-26-01,0,34,0,0,0,0,0,0,0,33,0,0,0,41,34,0
11-27-01,0,0,0,0,0,0,0,0,0,33,0,0,0,33,0,0
11-28-01,0,0,0,0,0,0,0,0,0,45,0,0,0,34,34,0
11-29-01,0,0,0,0,0,0,0,0,0,43,0,0,0,35,35,0
11-30-01,0,0,0,0,0,0,0,0,0,47,33,0,0,41,0,0
11-31-01,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0
11-32-01,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
11-33-01,0,0,0,0,0,0,0,0,33,36,0,0,0,0,0,0
11-34-21,34,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
11-35-01,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
11-36-01,0,33,0,0,0,0,0,0,0,40,0,0,0,0,0,0
11-37-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
11-38-01,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
11-39-01,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
11-40-01,0,0,0,0,0,0,0,0,33,0,0,0,0,0,33,0
11-41-01,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
11-42-11,0,0,0,0,0,34,0,0,0,33,33,0,0,0,0,0
11-43-01,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
11-44-01,0,34,0,0,0,37,0,0,0,0,0,0,0,0,0,0
11-45-01,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
11-46-01,0,0,0,0,0,34,0,0,33,0,0,0,0,0,33,0
11-47-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
11-48-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
11-49-11,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
11-50-01,0,0,0,0,0,0,0,36,0,0,0,0,0,34,33,0
11-51-01,33,36,0,0,0,33,0,0,0,0,0,0,0,34,35,0
11-52-01,0,34,0,0,0,0,0,0,0,34,0,0,0,33,0,0
11-53-01,0,33,0,0,0,0,0,0,0,35,0,0,0,36,0,0
11-54-01,33,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
11-55-01,0,0,0,0,0,0,0,0,0,54,0,0,0,0,39,0
11-56-01,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
11-57-01,0,0,0,0,0,0,0,0,0,53,0,0,0,0,35,0
11-58-01,0,0,0,0,0,0,0,0,0,48,0,0,0,0,34,0
11-59-41,0,0,0,0,0,0,0,33,0,0,0,0,0,37,0,0
12-00-01,0,0,0,0,0,35,0,0,0,0,0,0,0,36,52,0
12-01-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-02-11,0,33,36,37,0,0,0,0,0,0,0,0,0,33,0,0
12-03-01,0,0,36,0,0,0,0,0,0,33,0,0,0,0,0,0
12-04-01,0,0,0,0,0,0,0,0,0,43,0,0,0,0,36,0
12-05-01,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
12-06-01,42,0,0,0,0,34,0,0,0,0,0,0,0,34,0,0
12-07-01,0,0,0,37,0,0,0,0,0,40,0,0,0,0,0,0
12-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
12-09-01,0,0,0,0,0,0,0,0,0,48,0,0,0,0,40,0
12-10-01,0,0,0,0,0,0,0,0,0,52,0,0,0,0,35,0
12-11-01,0,0,0,0,0,0,0,0,0,36,0,0,0,0,41,0
12-12-01,37,0,0,0,0,0,0,0,0,47,0,0,0,0,40,0
12-13-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
12-14-01,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42,0
12-15-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
