date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
09-47-21,0,58,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-47-31,0,58,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-47-41,0,59,49,0,0,0,30,0,0,0,0,0,0,57,0,0
09-47-51,0,56,50,0,0,0,0,0,0,0,0,0,0,54,0,0
09-48-01,0,58,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-48-11,0,58,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-48-21,0,59,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-48-31,0,58,50,0,0,0,0,0,0,0,0,0,0,56,0,0
09-48-41,0,58,49,0,0,0,0,0,0,0,0,0,0,57,0,0
09-48-51,0,58,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-49-01,0,58,50,0,0,0,0,0,0,0,0,0,0,56,0,0
09-49-11,0,58,50,0,0,0,0,0,0,0,0,0,0,58,30,0
09-49-21,0,58,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-49-31,0,59,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-49-41,0,58,49,0,0,0,34,0,0,0,0,0,0,58,0,0
09-49-51,0,58,50,0,0,0,0,0,0,0,0,0,0,56,0,0
09-50-01,0,59,50,0,0,0,0,0,0,0,0,0,0,57,0,0
09-50-11,0,56,50,0,0,0,0,0,0,0,0,0,0,56,0,0
09-50-21,0,58,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-50-31,0,58,50,0,0,0,0,0,0,0,0,0,0,56,0,0
09-50-41,0,58,50,0,0,0,32,0,0,0,0,0,0,58,0,0
09-50-51,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-51-01,0,57,49,0,0,0,0,0,0,0,0,0,0,58,0,0
09-51-11,0,58,50,0,0,0,0,0,0,0,0,0,0,58,0,0
09-51-21,0,58,50,0,0,0,0,0,0,0,0,0,0,57,0,0
