date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Erin,Taj,Silas,Beatrice,Willa
15-09-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-09-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-09-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-10-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-10-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-10-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-10-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-10-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-10-51,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
15-11-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-11-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-11-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-11-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-11-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-11-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-12-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-12-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-12-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-12-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-12-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-12-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-13-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-13-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-13-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-13-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-13-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-13-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-14-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-14-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-14-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-14-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-14-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-14-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-15-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-15-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-15-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-15-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-15-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-15-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-16-01,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
15-16-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-16-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-16-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-16-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-16-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-17-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-17-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-17-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-17-31,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-17-41,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-17-51,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-18-01,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-18-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-18-21,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
15-18-31,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-18-41,0,0,0,0,0,0,0,0,0,0,0,57,60,0,0,0
15-18-51,0,0,0,0,0,0,0,0,0,0,0,58,61,0,0,0
15-19-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-19-11,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-19-21,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-19-31,0,0,0,0,0,0,0,0,0,0,0,57,59,0,0,0
15-19-41,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-19-51,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-20-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-20-11,0,0,0,0,0,0,0,0,0,0,0,57,60,0,0,0
15-20-21,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-20-31,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-20-41,0,0,0,0,0,0,0,0,0,0,0,57,60,0,0,0
15-20-51,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-21-01,0,0,0,0,0,0,0,0,0,0,0,58,61,0,0,0
15-21-11,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-21-21,0,0,0,0,0,0,0,0,0,0,0,57,59,0,0,0
15-21-31,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-21-41,0,0,0,0,0,0,0,0,0,0,0,57,60,0,0,0
15-21-51,0,0,0,0,0,0,0,0,0,0,0,57,60,0,0,0
15-22-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-22-11,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-22-21,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-22-31,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-22-41,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-22-51,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-23-01,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-23-11,0,0,0,0,0,0,0,0,0,0,0,57,61,0,0,0
15-23-21,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-23-31,0,0,0,0,0,0,0,0,0,0,0,58,61,0,0,0
15-23-41,0,0,0,0,0,0,0,0,0,0,0,58,61,0,0,0
15-23-51,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-24-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-24-11,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-24-21,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-24-31,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-24-41,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-24-51,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-25-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-25-11,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-25-21,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-25-31,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-25-41,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-25-51,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-26-01,0,0,0,0,0,0,0,0,0,0,0,58,61,0,0,0
15-26-11,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0
15-26-21,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-26-31,0,0,0,0,0,0,0,0,0,0,0,57,60,0,0,0
15-26-41,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-26-51,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-27-01,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0
15-27-11,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-27-21,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-27-31,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-27-41,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-27-51,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-28-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-28-11,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-28-21,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-28-31,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-28-41,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-28-51,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-29-01,0,0,0,0,0,0,0,0,0,0,0,58,60,0,0,0
15-29-11,0,0,0,0,0,0,0,0,0,0,0,58,59,0,0,0
15-29-21,0,0,0,0,0,0,0,0,0,0,0,57,60,0,0,0
15-29-31,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0
15-29-41,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0
15-29-51,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0
15-30-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-30-11,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-30-21,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-30-31,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-30-41,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-30-51,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-31-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-31-11,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-31-21,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0
15-31-31,0,0,0,0,0,0,0,0,0,0,0,60,62,0,0,0
15-31-41,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0
15-31-51,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0
15-32-01,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-32-11,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-32-21,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0
15-32-31,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-32-41,0,0,0,0,0,0,0,0,0,0,0,59,63,0,0,0
15-32-51,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-33-01,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-33-11,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
15-33-21,0,0,0,0,0,0,0,0,0,0,0,60,63,0,0,0
15-33-31,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0
