date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
11-31-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
11-32-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
11-33-01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-34-01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-35-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-36-11,0,31,0,0,0,0,34,0,0,0,0,0,0,0,0,0
11-37-11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-38-01,43,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
11-39-01,42,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
11-40-01,0,32,0,0,0,0,0,0,0,37,0,0,0,0,0,0
11-41-01,42,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
11-42-01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-43-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-44-01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-45-11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-46-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
11-47-01,0,0,0,0,0,0,31,0,0,0,0,0,0,0,31,0
11-48-01,37,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0
11-49-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-50-01,0,0,0,0,0,0,31,0,0,32,0,0,0,0,0,0
11-51-01,42,0,0,0,0,34,32,0,0,0,0,0,0,0,0,0
11-52-01,0,0,0,34,0,0,31,0,0,0,0,0,0,0,0,0
11-53-01,0,0,0,0,0,0,35,0,0,33,0,0,0,0,0,0
11-54-11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-55-11,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
11-56-01,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-57-21,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-58-01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-59-01,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
12-00-01,0,0,0,0,0,0,33,0,0,37,0,0,0,0,0,0
12-01-01,43,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
12-02-01,0,31,0,0,0,58,0,0,0,0,0,0,0,0,0,0
12-03-01,42,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
12-04-01,42,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-05-01,43,0,0,49,0,33,0,0,0,0,0,0,0,0,0,0
12-06-01,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
12-07-01,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0
12-08-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-09-01,42,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
12-10-21,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
12-11-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-12-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-13-01,42,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-14-01,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-15-01,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
12-16-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-17-11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-18-01,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-19-01,32,0,0,0,0,32,0,0,31,0,0,0,0,0,0,0
12-20-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-21-01,34,31,0,0,0,32,0,0,0,0,0,0,0,0,0,0
12-22-01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-23-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-24-01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-25-01,32,0,0,0,0,0,40,0,0,31,0,0,0,0,0,0
12-26-01,32,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
12-27-01,32,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
12-28-01,36,0,0,0,0,35,39,0,0,0,0,0,0,0,0,0
12-29-01,34,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
12-30-01,32,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
12-31-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-32-01,33,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
12-33-01,32,33,0,0,0,31,33,0,0,0,0,0,0,0,0,0
12-34-01,34,0,46,40,0,35,0,0,0,0,0,0,0,0,0,0
