date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
12-24-11,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
12-25-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
12-26-01,0,0,0,0,0,43,38,0,0,0,0,0,0,0,0,0
12-27-21,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
12-28-01,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-29-01,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
12-30-21,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
12-31-01,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
12-32-01,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
12-33-11,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
12-34-31,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
12-35-11,0,39,0,0,0,0,38,0,0,0,0,0,0,0,0,0
12-36-01,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-37-11,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
12-38-11,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-39-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-40-01,0,0,38,0,0,0,0,0,0,0,0,0,0,0,38,0
12-41-11,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
12-42-01,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
12-43-01,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0
12-44-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
12-46-21,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
12-47-51,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-49-51,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
12-50-31,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
12-52-21,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-53-21,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
12-54-31,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-55-41,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-56-41,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
12-59-41,0,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0
13-02-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
