date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Willa
13-42-01,0,45,39,0,0,0,43,0,0,63,0,0,0,50,0,0
13-43-01,0,45,0,0,0,0,40,0,0,64,0,0,0,51,0,0
13-44-01,46,44,0,0,0,32,35,0,0,63,0,0,0,51,0,0
13-45-01,0,46,38,0,0,0,41,0,0,63,0,0,0,50,0,0
13-46-01,0,45,0,0,0,0,0,0,0,63,0,0,0,52,0,0
13-47-01,44,45,0,0,0,0,0,0,0,63,0,0,0,49,0,0
13-48-01,0,45,0,0,0,0,36,0,0,64,0,37,0,52,0,0
13-49-01,0,45,0,0,0,0,0,0,0,63,0,32,0,51,0,0
13-50-01,0,44,0,0,0,0,45,0,0,62,0,36,0,48,0,0
13-51-01,0,44,0,0,0,0,36,0,32,64,0,0,0,51,0,0
13-52-01,0,45,0,0,0,0,37,0,0,62,0,35,0,52,0,0
13-53-01,0,45,35,0,0,0,0,0,0,63,0,35,0,50,0,0
13-54-01,0,45,0,0,0,0,0,0,33,62,0,37,0,50,0,0
13-55-01,0,44,0,0,0,0,36,0,0,64,0,0,0,51,0,0
13-56-01,0,45,0,0,0,0,0,0,0,63,0,33,0,45,0,0
13-57-01,0,44,0,0,0,0,42,0,0,63,0,34,0,52,0,0
13-58-01,0,46,0,0,0,0,0,0,32,63,0,38,0,52,0,0
13-59-01,0,44,0,0,0,0,0,0,0,63,0,0,0,51,0,0
14-00-01,0,44,0,0,0,0,45,0,0,64,0,0,0,51,0,0
14-01-01,0,43,0,36,0,0,0,37,34,64,0,0,0,52,0,0
14-02-01,0,44,0,0,0,0,44,0,0,62,0,34,0,50,0,0
14-03-01,45,45,0,0,0,0,0,0,0,62,0,36,0,49,0,0
14-04-01,0,45,0,0,0,0,0,0,0,63,0,0,0,51,0,0
14-05-01,0,46,0,0,0,0,32,0,0,63,0,0,0,50,0,0
14-06-01,0,46,34,0,0,0,0,0,0,63,0,34,0,51,0,0
14-07-01,0,47,0,0,0,0,0,0,0,62,0,0,0,48,0,0
14-08-01,0,44,36,0,0,0,40,0,0,64,0,33,0,50,0,0
14-09-01,45,46,0,0,0,0,40,0,0,64,0,0,0,50,0,0
14-10-01,0,46,0,0,0,0,41,0,0,63,0,0,0,51,0,0
14-11-01,45,47,0,0,0,0,40,0,0,63,0,0,0,49,0,0
14-12-01,0,46,0,0,0,0,36,0,0,63,0,0,0,50,0,0
14-13-01,0,45,0,0,0,0,34,0,0,64,0,0,0,51,0,0
14-14-01,0,45,36,0,0,0,0,0,0,60,0,0,0,51,0,0
14-15-01,0,46,0,0,0,0,34,0,0,62,0,0,0,51,0,0
14-16-01,0,46,0,0,0,0,40,0,0,64,0,0,0,50,0,0
14-17-01,43,45,0,0,0,0,39,0,0,64,0,0,0,51,0,0
14-18-01,0,46,0,0,0,0,42,0,0,63,0,0,0,46,0,0
14-19-01,0,46,0,0,0,0,38,0,0,64,0,0,0,49,0,0
14-20-01,38,45,34,0,0,0,0,0,0,63,0,0,0,48,0,0
14-21-01,44,45,0,0,0,38,34,0,0,62,0,0,0,50,0,0
14-22-01,0,46,0,0,0,0,0,0,0,63,0,0,0,47,0,39
14-23-01,0,46,0,0,0,0,47,0,0,62,0,0,0,47,0,0
14-24-01,45,46,34,0,0,0,32,0,0,64,0,0,0,50,0,0
14-25-01,0,46,0,0,0,35,0,0,0,63,0,0,0,50,0,0
14-26-01,0,45,0,0,0,0,0,0,0,64,0,0,0,50,0,0
14-27-01,0,46,0,0,0,0,0,0,0,62,0,0,0,50,0,0
14-28-01,0,45,0,0,0,0,0,0,0,63,0,0,0,47,0,43
14-29-01,44,46,33,0,0,0,0,0,0,62,0,0,0,48,0,0
14-30-01,0,46,0,0,0,0,0,0,0,64,0,0,0,50,0,0
14-31-01,0,45,34,0,0,0,0,0,0,64,0,0,0,49,0,0
14-32-01,0,45,35,0,0,0,0,0,0,64,0,0,0,50,0,0
14-33-01,0,46,0,0,0,0,34,0,0,63,0,0,0,51,0,0
14-34-01,42,45,0,0,0,0,0,0,0,64,0,0,0,51,0,0
14-35-01,42,47,0,0,0,0,0,0,0,65,0,0,0,49,0,0
14-36-01,0,46,0,0,0,34,32,0,0,63,0,0,0,48,0,0
14-37-01,0,45,0,0,0,34,0,0,0,64,0,0,0,50,0,0
14-38-01,0,45,0,0,0,32,0,0,0,64,0,0,0,51,0,32
14-39-01,0,46,0,0,0,35,0,0,0,64,0,0,0,50,0,0
14-40-01,45,46,0,0,0,32,0,0,0,63,0,0,0,51,0,0
14-41-01,0,47,0,0,0,0,47,0,0,63,0,0,0,49,0,0
14-42-01,0,46,0,0,0,0,45,0,37,64,0,0,0,44,0,0
14-43-01,0,46,0,0,0,0,0,0,0,63,0,0,0,49,0,0
14-44-01,0,46,0,0,0,0,32,0,0,64,0,0,0,50,0,0
14-45-01,0,46,0,32,0,36,34,0,0,64,0,0,0,49,0,0
14-46-01,0,46,0,0,0,34,43,0,0,63,0,0,0,52,0,0
14-47-01,0,45,0,0,0,0,0,0,0,64,0,0,0,49,0,0
14-48-01,0,45,0,0,0,0,0,0,0,64,0,0,0,50,0,0
14-49-01,0,43,0,0,0,38,0,0,0,64,0,0,0,49,0,0
14-50-01,42,46,0,0,0,0,0,0,0,64,0,0,0,51,0,0
14-51-01,0,46,0,0,0,0,0,0,0,64,0,0,0,49,0,0
14-52-01,0,46,0,50,0,33,0,0,0,64,0,0,0,52,0,0
14-53-01,0,47,37,0,0,43,0,0,0,64,0,0,0,47,0,0
14-54-01,0,42,40,0,0,49,0,0,0,64,0,0,0,49,0,0
14-55-01,0,46,46,46,0,53,0,0,0,64,0,0,0,45,0,0
14-56-01,0,47,53,62,0,0,0,0,0,64,0,0,0,54,0,0
14-57-01,0,44,46,58,0,56,0,0,0,64,0,0,0,45,0,39
