date,Uriah,Veylan,Sofi,Neve,Elliot,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
13-32-31,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-34-31,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
13-35-01,0,33,0,0,0,0,47,0,0,31,0,0,0,0,31,0
13-36-31,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
13-38-11,0,0,0,36,0,0,33,0,0,0,0,0,0,30,0,0
13-39-11,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
13-40-31,30,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
13-41-01,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
13-42-01,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
13-43-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-44-01,0,0,37,0,0,0,34,0,0,0,0,0,0,0,0,0
13-45-01,0,32,43,0,0,0,0,0,0,0,0,0,0,0,34,0
13-46-21,0,0,34,0,0,0,0,0,0,30,0,0,0,0,0,0
13-47-21,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
13-48-01,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
13-49-01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-50-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-54-41,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-55-01,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
13-56-11,0,0,31,0,0,0,0,0,0,0,0,0,0,33,29,0
13-57-11,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
13-58-01,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
13-59-11,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
14-00-01,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
14-01-11,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
14-02-21,0,0,0,0,0,0,0,0,0,31,0,0,0,30,0,0
14-03-01,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
14-04-01,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
14-05-01,0,0,0,0,0,0,34,0,0,32,0,0,0,0,0,0
14-06-01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-08-21,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0
14-09-21,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
14-10-11,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
14-11-01,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
14-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
14-13-01,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
14-15-01,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
