date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin
13-47-15,0,0,0,31,0,0,0,0,0,0,0
13-48-05,0,0,0,34,0,0,0,0,0,0,29
13-49-05,0,0,0,36,0,0,0,0,0,0,0
13-58-05,0,0,0,0,0,0,0,0,0,0,29
14-02-05,0,31,0,31,0,0,30,0,0,0,31
14-03-35,0,0,0,0,0,0,29,0,0,0,32
14-04-05,0,0,0,0,0,0,35,0,0,0,0
14-05-05,0,34,0,48,30,29,0,0,0,0,0
14-06-05,0,0,0,0,0,0,0,0,0,0,29
14-07-05,0,0,0,42,0,0,0,0,0,0,0
14-08-15,0,35,0,31,32,32,35,0,0,0,0
14-09-05,0,29,0,32,30,0,31,0,0,0,0
14-10-05,0,32,0,0,32,31,35,0,0,0,0
14-11-05,0,34,0,0,31,0,35,0,0,0,0
14-12-05,0,30,0,0,0,0,0,0,0,0,0
14-13-35,0,0,0,0,0,0,30,0,0,0,0
14-14-05,0,0,0,0,0,0,0,0,0,0,29
14-15-05,0,32,0,0,0,0,33,0,0,0,0
14-16-05,0,0,0,31,0,30,33,0,0,0,0
14-17-05,0,30,0,33,32,0,0,0,0,0,0
14-18-05,0,0,0,0,0,0,29,0,0,0,0
14-19-05,0,29,0,0,0,0,32,0,0,0,0
14-20-05,0,0,0,40,0,0,0,0,0,0,33
14-21-05,0,30,0,0,0,0,0,0,0,0,0
14-22-15,0,0,0,29,0,0,0,0,0,0,0
14-23-05,0,30,0,0,0,0,32,0,0,0,0
14-24-25,0,0,0,0,0,0,32,0,0,0,0
14-25-15,0,0,0,0,0,0,31,0,0,0,0
14-26-05,0,0,0,0,0,0,31,0,0,0,0
14-27-05,0,0,0,0,30,0,0,0,0,0,0
14-28-05,0,33,0,0,0,31,32,0,0,0,0
14-29-35,0,0,0,0,0,0,0,35,0,0,0
14-30-05,0,29,0,30,0,0,33,0,0,0,0
14-31-15,0,34,0,0,0,0,0,0,0,0,0
14-32-05,0,0,0,0,0,0,0,0,0,0,34
14-33-05,0,0,0,0,0,0,34,0,0,0,30
14-34-05,0,0,0,0,29,0,0,0,0,0,0
14-35-05,0,32,0,33,0,32,0,38,0,0,0
14-36-05,0,29,0,0,0,0,0,0,0,0,0
14-37-05,0,33,0,0,0,30,0,0,0,0,0
14-38-05,0,0,0,0,35,0,0,0,0,0,0
14-39-05,0,0,0,31,38,0,0,32,0,0,0
14-40-05,0,33,0,0,39,34,0,40,0,0,0
14-41-05,0,0,0,34,41,30,0,37,0,0,0
14-42-05,0,32,0,36,39,0,0,37,0,0,0
14-43-05,0,34,0,0,40,33,0,42,0,0,0
14-44-05,0,0,0,34,38,0,0,36,0,0,0
14-45-05,0,31,0,36,43,31,0,39,0,0,0
14-46-05,0,29,0,36,38,0,0,36,0,0,0
14-47-05,0,29,0,0,38,0,0,37,0,0,0
14-48-05,0,30,0,41,45,31,0,39,0,0,0
14-49-05,0,0,0,35,45,29,0,39,0,0,0
14-50-05,0,30,0,0,34,30,0,34,0,0,0
14-51-05,0,0,0,0,40,0,0,41,0,0,0
14-52-05,0,31,0,0,41,35,0,36,0,0,0
14-53-05,0,31,0,0,41,33,0,40,0,0,0
14-54-05,0,30,0,0,35,31,0,35,0,0,0
14-55-05,0,30,0,30,40,32,0,36,0,0,0
14-56-05,0,30,0,0,41,31,0,36,0,0,0
14-57-05,0,33,0,29,39,31,0,31,0,0,0
14-58-05,0,31,0,0,31,0,0,0,0,0,0
14-59-05,0,31,0,0,0,0,0,0,0,0,0
15-00-05,0,33,0,0,31,0,35,0,0,0,0
15-01-05,0,0,0,31,0,0,37,0,0,0,0
15-02-05,0,47,0,42,35,39,45,31,0,0,0
15-03-05,29,54,0,52,32,51,52,33,0,0,0
15-04-05,30,55,0,52,32,52,48,30,0,0,0
15-05-05,0,51,0,53,36,55,60,31,0,0,0
15-06-05,0,50,0,54,37,55,61,30,0,0,0
15-07-05,0,52,0,55,41,55,52,33,0,0,0
15-08-05,0,50,0,52,33,55,49,33,0,0,0
15-09-05,0,52,0,53,34,55,50,32,0,0,0
15-10-05,0,51,0,55,36,55,50,33,0,0,0
15-11-05,0,42,0,54,32,55,48,31,0,0,0
15-12-05,0,37,0,53,37,55,48,31,0,0,0
15-13-05,0,51,0,54,36,55,49,30,0,0,0
15-14-05,0,52,0,54,35,55,51,30,0,0,0
15-15-05,0,51,0,53,33,55,49,0,0,0,0
15-16-05,0,51,0,53,0,55,50,0,0,0,0
15-17-05,0,50,0,53,0,56,49,29,0,0,0
15-18-05,30,49,0,53,0,56,48,31,0,0,0
15-19-05,0,49,0,53,0,56,50,0,0,0,0
15-20-05,0,50,0,53,0,56,49,31,0,0,0
15-21-05,30,50,0,54,0,55,49,0,0,0,0
15-22-05,30,50,0,53,0,56,49,31,0,0,0
15-23-05,30,50,0,54,0,56,49,31,0,0,0
15-24-05,30,50,0,53,0,55,49,31,0,0,0
15-25-05,0,50,0,53,0,56,49,32,0,0,0
15-26-05,0,50,0,52,0,56,49,0,0,0,0
15-27-05,0,50,0,52,0,55,49,29,0,0,0
15-28-05,29,49,0,52,0,56,49,29,0,0,0
15-29-05,0,50,0,53,0,56,49,31,0,0,0
15-30-05,30,50,0,54,0,55,50,32,0,0,0
15-31-05,30,50,0,53,0,56,49,32,0,0,0
15-32-05,30,50,0,54,0,56,49,32,0,0,0
15-33-05,0,50,0,54,0,56,49,0,0,0,0
15-34-05,0,50,0,54,0,56,49,0,0,0,0
15-35-05,30,50,0,53,0,56,49,32,0,0,0
15-36-05,30,50,0,53,0,56,49,32,0,0,0
15-37-05,30,50,0,53,0,56,49,32,0,0,0
15-38-05,30,50,0,53,0,55,49,32,0,0,0
15-39-05,30,50,0,54,0,56,49,32,0,0,0
15-40-05,31,50,0,54,0,56,49,32,0,0,0
15-41-05,31,50,0,54,0,56,49,32,0,0,0
15-42-05,30,50,0,52,0,56,50,32,0,0,0
15-43-05,30,50,0,53,0,56,49,32,0,0,0
15-44-05,31,50,0,54,0,56,49,32,0,0,0
15-45-05,30,50,0,53,0,56,49,32,0,0,0
15-46-05,30,50,0,53,0,56,49,32,0,0,0
15-47-05,30,50,0,53,0,56,49,32,0,0,0
