date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary
09-58-05,0,33,37,0,34,50,0,0,33,32,32
09-58-15,0,33,47,35,0,39,0,35,32,36,34
09-58-25,0,33,45,0,0,32,0,36,0,35,34
09-58-35,0,32,42,0,0,35,0,0,0,33,33
09-58-45,0,34,40,38,32,36,0,33,33,34,36
09-58-55,0,38,39,34,35,38,36,34,35,32,39
09-59-05,0,33,41,0,32,38,34,33,34,39,38
09-59-15,0,0,50,36,0,35,32,0,33,33,44
09-59-25,0,0,37,48,0,39,33,0,32,0,33
09-59-35,0,34,33,50,0,40,33,0,0,0,32
09-59-45,0,40,42,38,0,34,33,0,32,0,44
09-59-55,0,38,41,34,0,44,0,0,0,0,0
10-00-05,0,38,41,41,39,39,0,32,32,32,0
10-00-15,0,34,39,0,42,49,0,33,32,0,0
10-00-25,0,38,33,0,37,36,0,44,36,33,0
10-00-35,33,38,32,0,32,35,0,38,39,0,33
10-00-45,0,41,33,0,0,48,0,0,37,0,32
10-00-55,35,39,35,0,0,36,33,36,47,33,39
10-01-05,35,41,34,33,32,33,36,36,49,0,38
10-01-15,38,35,35,0,36,36,32,40,44,33,0
10-01-25,0,33,0,0,0,34,35,35,39,33,37
10-01-35,0,37,0,0,0,33,34,36,38,33,39
10-01-45,0,33,0,0,0,34,0,0,38,33,41
10-01-55,0,33,0,0,0,38,33,34,42,0,38
10-02-05,0,32,0,0,0,37,32,35,41,32,37
10-02-15,0,32,0,0,0,38,38,34,42,34,39
10-02-25,0,0,32,0,0,36,42,33,39,33,39
10-02-35,0,0,0,33,32,35,39,32,41,0,39
10-02-45,0,36,32,32,0,36,32,36,36,0,35
10-02-55,32,32,32,34,0,35,0,0,33,32,37
10-03-05,0,36,33,33,36,43,32,0,32,34,37
10-03-15,32,33,37,36,32,45,0,33,32,32,38
10-03-25,0,0,0,0,0,32,0,0,32,0,0
10-03-35,32,48,34,34,32,36,0,0,45,32,33
10-03-45,0,42,36,32,0,36,32,43,43,33,33
10-03-55,0,45,40,32,34,35,0,54,40,32,32
10-04-05,0,35,34,0,33,34,0,47,41,32,32
10-04-15,0,45,37,0,32,39,0,45,39,32,32
10-04-25,0,44,33,0,32,38,0,40,39,37,0
10-04-35,0,44,33,32,0,34,0,40,37,36,33
10-04-45,0,0,33,33,33,33,32,35,43,53,32
10-04-55,0,0,34,32,33,35,0,47,42,46,0
10-05-05,0,0,35,0,37,33,0,45,42,51,0
10-05-15,0,0,0,0,35,34,0,48,41,46,33
10-05-25,0,0,35,33,37,33,0,47,42,47,40
10-05-35,0,0,32,32,43,33,0,46,41,33,33
10-05-45,0,0,33,32,44,34,32,47,41,33,33
10-05-55,0,0,32,32,39,38,32,39,37,33,36
10-06-05,0,0,35,33,42,46,0,36,34,36,0
10-06-15,0,0,46,33,36,32,0,34,0,0,0
10-06-25,0,0,42,33,35,33,0,37,34,0,0
10-06-35,0,0,38,34,34,38,0,34,35,33,0
10-06-45,0,0,39,36,33,38,0,33,36,32,0
10-06-55,0,0,44,35,39,32,0,32,33,32,0
10-07-05,0,0,42,32,41,32,0,39,32,34,0
10-07-15,0,0,37,40,35,33,0,36,33,32,0
10-07-25,0,0,35,36,34,35,0,35,36,40,0
10-07-35,0,0,34,0,34,37,37,36,39,38,33
10-07-45,34,0,32,32,32,42,37,49,42,32,35
10-07-55,0,0,36,37,35,36,0,34,34,36,0
10-08-05,0,0,33,34,36,32,0,35,34,39,0
10-08-15,0,0,37,34,32,42,0,35,33,32,0
10-08-25,0,0,38,36,42,40,0,32,32,0,0
10-08-35,0,32,36,33,36,41,0,34,33,32,34
10-08-45,0,33,36,35,47,35,0,0,32,0,32
10-08-55,0,35,36,44,37,37,0,0,33,0,32
10-09-05,0,33,42,51,32,37,0,33,32,0,37
10-09-15,0,46,40,48,48,39,0,32,32,0,38
10-09-25,0,40,37,40,51,33,0,32,0,0,38
10-09-35,0,51,38,41,40,36,0,32,32,34,53
10-09-45,0,35,37,33,36,35,0,33,32,35,32
10-09-55,0,0,45,32,32,33,0,32,32,0,34
10-10-05,0,0,38,37,48,35,0,33,33,0,33
10-10-15,0,0,37,37,40,36,32,32,32,0,0
10-10-25,0,0,36,34,37,36,33,42,32,32,0
10-10-35,37,0,0,0,0,41,43,33,35,46,0
10-10-45,0,0,32,32,0,40,0,0,36,37,0
10-10-55,33,0,35,33,32,42,0,0,35,36,46
10-11-05,32,0,34,0,33,38,0,0,35,40,34
10-11-15,0,0,33,34,33,39,0,0,32,36,37
10-11-25,32,0,33,33,33,48,0,0,32,34,36
10-11-35,37,0,33,0,32,51,0,32,35,0,0
10-11-45,33,34,36,0,34,50,0,32,35,0,0
10-11-55,34,33,0,0,33,38,0,0,34,0,0
10-12-05,32,0,0,0,0,33,0,0,0,0,0
10-12-15,35,0,32,39,32,36,0,34,43,0,36
10-12-25,0,0,38,36,35,40,38,39,34,0,34
10-12-35,0,0,44,34,37,38,38,33,34,0,35
10-12-45,0,0,41,32,58,37,32,32,33,0,41
10-12-55,0,0,43,35,38,44,33,38,34,0,33
10-13-05,0,0,37,38,32,34,0,37,32,0,0
10-13-15,0,0,38,40,34,35,32,41,34,0,38
10-13-25,0,0,0,0,34,48,0,32,34,0,39
10-13-35,0,0,0,0,34,38,0,32,38,0,32
10-13-45,0,0,0,32,34,50,32,34,40,0,0
10-13-55,0,0,0,0,36,36,0,32,34,0,0
10-14-05,0,0,0,0,41,35,0,32,33,0,0
10-14-15,0,0,0,0,45,37,0,33,34,0,0
10-14-25,0,0,37,40,42,36,0,34,34,0,0
10-14-35,0,0,35,34,41,36,0,0,0,0,0
10-14-45,0,0,38,33,34,37,0,56,0,0,0
10-14-55,0,0,39,32,33,40,0,47,32,0,0
10-15-05,0,0,45,36,33,34,0,44,32,0,0
10-15-15,0,0,48,40,40,34,0,35,34,0,0
10-15-25,0,0,49,34,35,35,0,0,35,0,0
10-15-35,0,0,46,34,34,36,0,32,34,0,0
10-15-45,0,0,40,33,37,42,32,33,33,0,0
10-15-55,0,0,42,35,36,39,0,33,34,0,0
10-16-05,0,33,34,32,35,36,0,37,37,0,0
10-16-15,0,32,34,0,35,33,0,0,38,0,32
10-16-25,0,0,0,0,0,32,33,32,41,0,38
10-16-35,0,0,35,33,36,34,0,32,35,0,44
10-16-45,0,0,34,34,38,35,32,32,37,0,34
10-16-55,32,33,35,32,38,34,32,36,41,0,34
10-17-05,0,0,0,0,0,0,0,32,36,0,0
10-17-15,0,0,33,0,43,0,0,33,39,0,0
10-17-25,0,0,45,0,46,0,0,33,38,0,32
10-17-35,0,0,0,0,39,0,0,33,37,0,32
10-17-45,32,0,32,0,37,0,0,33,37,0,32
10-17-55,0,0,0,0,36,0,0,32,37,0,32
10-18-05,0,36,0,32,42,36,0,37,40,0,33
10-18-15,0,0,0,41,38,48,32,37,35,0,35
10-18-25,0,0,33,36,35,46,44,34,33,0,35
10-18-35,0,0,0,51,33,42,53,35,33,0,45
10-18-45,0,0,0,0,33,34,47,0,0,0,33
10-18-55,0,0,0,0,33,41,49,32,32,0,38
10-19-05,0,0,0,0,32,33,46,34,0,0,34
10-19-15,0,0,0,0,32,44,48,32,33,0,43
10-19-25,0,0,0,0,33,41,32,32,0,0,42
10-19-35,0,32,35,0,0,39,34,32,32,0,35
10-19-45,0,0,34,0,0,38,37,32,32,0,38
10-19-55,0,0,32,0,32,37,43,32,0,0,45
10-20-05,0,0,33,0,32,36,41,33,0,0,0
10-20-15,0,0,0,0,32,38,37,33,32,0,0
10-20-25,0,0,32,0,32,39,42,34,32,0,0
10-20-35,0,0,35,0,35,37,44,32,32,0,0
10-20-45,0,0,33,0,35,41,42,32,0,0,0
10-20-55,0,0,32,0,38,38,37,0,0,0,33
10-21-05,0,0,33,0,34,39,42,34,34,0,33
10-21-15,0,0,0,0,36,39,46,33,0,0,54
10-21-25,0,0,32,0,34,35,36,32,34,0,44
10-21-35,0,0,0,0,41,37,35,0,34,0,0
10-21-45,0,0,0,0,36,35,32,0,32,0,0
10-21-55,0,0,0,0,35,36,33,0,33,0,0
10-22-05,0,0,0,0,34,43,36,0,32,0,0
10-22-15,0,0,0,0,36,38,33,0,33,0,0
10-22-25,0,0,0,0,40,37,33,0,33,0,33
10-22-35,0,0,32,0,39,38,33,0,0,0,33
