date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin
12-26-05,0,0,38,0,35,33,0,0,0,0,0
12-27-05,0,0,34,0,34,37,0,0,33,0,0
12-28-05,0,0,37,0,0,39,0,0,33,0,0
12-29-05,0,0,36,0,0,35,0,0,34,0,0
12-30-05,0,0,40,0,0,37,0,0,33,0,0
12-31-05,0,0,39,0,34,38,0,0,0,0,0
12-32-05,0,0,37,0,33,38,0,0,34,0,0
12-33-05,0,0,35,0,0,47,0,0,0,0,0
12-34-05,0,0,33,0,0,50,0,0,0,0,0
12-35-05,0,0,0,0,0,45,0,0,0,0,0
12-36-05,0,0,37,0,0,44,34,0,0,0,0
12-37-05,0,0,0,0,0,55,0,0,34,0,0
12-38-05,0,0,41,35,35,44,35,0,33,0,33
12-39-05,0,0,35,39,33,0,40,0,37,0,0
12-40-05,0,0,37,0,34,0,34,0,33,33,0
12-41-05,0,0,0,33,0,0,34,0,47,0,0
12-42-05,0,33,0,0,0,0,39,0,37,0,39
12-43-05,0,0,35,34,0,0,34,0,0,0,0
12-44-05,35,0,38,45,43,0,54,0,0,35,0
12-45-05,33,0,47,44,41,0,51,0,33,36,0
12-46-05,50,0,63,47,42,0,68,0,0,35,0
12-47-05,48,35,63,55,41,0,70,0,0,34,0
12-48-05,48,0,62,54,43,0,70,0,0,0,0
12-49-05,47,37,62,54,44,0,70,0,0,33,0
12-50-05,47,48,62,54,43,0,70,0,0,33,0
12-51-05,45,50,60,55,44,0,70,0,0,0,0
12-52-05,46,50,60,54,45,0,70,0,33,0,0
12-53-05,46,50,60,54,44,0,71,0,0,33,0
12-54-05,45,49,61,56,46,0,65,0,0,43,0
12-55-05,44,49,60,57,46,0,65,0,0,41,0
12-56-05,45,49,62,56,47,0,66,0,33,43,0
12-57-05,45,49,62,57,46,0,66,0,0,42,0
12-58-05,45,49,62,57,47,0,65,0,0,42,0
12-59-05,45,49,63,57,46,0,66,0,0,42,0
13-00-05,45,49,61,56,47,0,66,0,0,42,0
13-01-05,45,49,63,58,46,0,66,0,0,41,0
13-02-05,45,49,63,58,47,0,66,0,0,41,0
13-03-05,45,49,62,58,46,0,66,0,0,40,0
13-04-05,45,49,62,56,46,0,66,0,0,42,0
13-05-05,45,49,63,58,47,0,65,0,0,43,0
13-06-05,45,49,63,57,47,0,66,0,0,43,0
13-07-05,45,49,62,57,45,0,66,0,0,43,0
13-08-05,45,49,62,57,46,0,66,0,0,43,0
13-09-05,45,49,62,57,46,0,66,0,0,43,0
13-10-05,45,49,62,57,47,0,66,0,0,43,0
13-11-05,45,50,63,58,45,0,66,0,33,42,0
13-12-05,43,42,62,55,52,0,67,0,0,41,0
13-13-05,46,45,64,55,47,0,66,0,33,39,0
13-14-05,46,49,64,39,47,0,67,0,0,41,0
13-15-05,46,48,65,0,48,0,67,0,0,42,0
13-16-05,46,48,65,0,48,0,66,0,0,41,0
13-17-05,46,49,64,0,48,0,66,0,0,41,0
13-18-05,46,49,64,0,48,0,66,0,33,42,0
13-19-05,46,45,67,0,43,0,41,0,0,42,0
13-20-05,46,51,65,0,47,0,34,0,0,40,0
13-21-05,46,49,65,0,45,0,0,0,0,40,0
13-22-05,46,46,65,0,47,0,39,0,0,38,0
13-23-05,47,46,64,0,45,0,34,0,0,40,0
13-24-05,45,51,48,0,48,0,0,0,34,42,0
13-25-05,33,41,0,0,41,0,0,0,0,36,0
13-26-05,0,35,41,34,34,0,0,0,0,33,0
13-27-05,0,33,39,0,0,0,48,0,34,0,0
13-28-05,0,0,0,0,0,0,0,0,33,0,0
13-29-05,0,0,34,0,0,0,34,0,33,0,0
13-30-05,0,0,33,0,0,0,34,0,0,0,0
13-31-05,0,34,35,0,0,0,35,0,35,0,0
13-32-05,0,40,36,0,35,0,0,0,0,35,0
13-33-05,0,0,36,33,0,0,0,0,34,0,0
13-34-05,0,0,33,0,0,0,0,0,0,0,0
13-35-05,0,0,45,0,0,0,0,0,0,0,33
13-36-05,0,0,0,0,0,0,0,0,0,0,38
13-37-05,0,34,37,0,33,0,0,0,39,0,33
13-38-05,0,34,39,0,34,0,0,0,33,33,0
13-39-05,0,38,37,0,0,0,0,0,0,0,0
13-40-05,0,0,33,0,0,0,0,0,0,0,0
13-41-05,0,33,33,36,0,0,0,0,40,0,0
13-42-05,0,34,48,0,0,0,0,0,0,0,0
13-43-05,0,37,37,0,0,0,0,0,37,33,0
13-44-05,0,0,33,33,0,0,0,0,33,0,0
13-45-05,0,34,34,0,0,0,0,0,34,0,0
13-46-05,0,37,34,0,33,0,0,0,33,33,0
13-47-05,0,33,34,0,0,0,0,0,34,0,0
13-48-05,0,39,0,0,34,0,0,0,33,33,0
13-49-05,0,33,0,0,33,0,0,0,33,0,0
13-50-05,0,35,0,0,34,0,0,0,0,34,0
13-51-05,0,36,33,0,34,0,0,0,35,34,0
13-52-05,0,0,0,0,0,0,0,0,33,0,0
13-53-55,0,33,33,0,0,0,0,0,0,0,0
13-54-05,0,33,33,0,0,0,0,0,0,0,0
13-55-05,0,33,45,0,0,0,0,0,0,0,0
13-56-05,0,34,0,0,33,0,0,0,35,34,0
13-57-05,0,0,33,0,0,0,0,0,0,0,0
13-58-05,0,33,34,37,33,0,0,0,41,0,35
13-59-05,0,33,0,0,34,0,0,0,0,0,0
14-00-05,0,35,0,0,35,0,0,0,0,35,0
14-01-05,0,36,33,0,34,0,0,0,35,33,0
14-02-15,0,37,34,34,0,0,0,0,34,34,0
14-03-05,0,0,0,0,0,0,0,0,36,33,0
