date,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
09-42-45,0,0,46,0,0,0,0,0,0,0,0
09-42-55,0,0,46,0,0,0,0,0,0,0,0
09-43-05,0,0,46,0,0,0,0,0,0,0,0
09-43-15,0,32,46,0,0,0,0,0,0,0,0
09-43-25,0,0,46,0,0,0,0,0,0,0,0
09-43-35,0,0,46,0,0,0,0,0,0,0,0
09-43-45,0,0,46,0,0,0,0,0,0,0,0
09-43-55,0,31,46,0,0,0,0,0,0,0,0
09-44-05,0,0,46,0,0,0,0,0,0,0,0
09-44-15,0,0,46,0,0,0,0,0,0,0,0
09-44-25,0,0,46,0,0,0,0,0,0,0,0
09-44-35,0,0,46,0,0,45,0,0,0,0,0
09-44-45,0,0,46,0,0,0,0,0,0,0,0
09-44-51,0,0,0,0,0,45,0,0,0,0,0
09-44-55,0,0,46,0,0,0,0,0,0,0,0
09-45-05,0,0,46,0,0,0,0,0,0,0,0
09-45-15,0,0,46,0,0,0,0,0,0,0,0
09-45-25,0,0,46,0,0,0,0,0,0,0,0
09-45-35,0,0,46,0,0,0,0,0,0,0,0
09-45-45,0,0,46,0,0,0,0,0,0,0,0
09-58-16,0,0,0,0,0,0,95,0,0,0,0
09-58-45,0,0,0,0,0,0,0,32,0,0,0
09-71-07,0,0,125,0,0,0,0,0,0,0,0
09-71-47,0,0,125,0,0,0,0,0,0,0,0
09-77-18,0,0,0,0,0,57,0,0,0,0,0
09-78-35,0,0,0,0,0,0,0,0,0,0,32
09-86-88,0,0,0,0,58,0,0,0,0,0,0
09-92-24,0,0,0,0,0,0,0,0,0,0,0
09-93-72,0,0,0,0,0,0,124,0,0,0,0
09-99-46,0,0,0,0,0,57,0,0,0,0,0
10-00-10,0,0,0,0,0,0,0,0,122,0,0
10-05-53,0,0,0,0,0,0,0,0,0,0,0
10-09-76,0,0,0,0,0,0,0,0,0,0,0
10-15-70,0,0,0,0,0,0,0,0,0,0,0
10-16-67,0,0,0,0,0,0,0,0,68,0,0
10-19-55,0,0,0,0,0,33,0,0,0,0,0
10-20-45,0,0,0,0,0,0,0,0,0,0,0
10-28-70,0,0,0,0,0,0,0,91,0,0,0
10-29-14,0,0,0,0,0,0,0,0,104,0,0
10-30-01,0,0,0,0,0,0,0,0,0,0,0
10-30-21,0,0,125,0,0,0,0,0,0,0,0
10-30-36,0,0,125,0,0,0,0,0,0,0,0
10-30-42,0,0,0,0,0,0,0,0,0,0,0
10-31-02,0,0,0,0,0,0,0,0,0,0,0
10-31-45,0,0,0,0,55,0,0,0,0,0,0
10-54-79,0,0,0,0,0,0,0,0,72,0,0
10-56-09,0,0,0,0,0,0,57,0,0,0,0
10-58-26,0,0,0,0,0,0,57,0,0,0,0
10-67-84,0,0,0,0,0,84,0,0,0,0,0
10-69-28,0,0,0,0,0,0,57,0,0,0,0
10-69-68,0,0,0,0,0,0,57,0,0,0,0
10-92-63,0,0,0,0,56,0,0,0,0,0,0
10-97-23,114,0,0,0,0,0,0,0,0,0,0
11-00-85,0,0,0,0,0,124,0,0,0,0,0
11-11-92,0,0,0,0,0,0,57,0,0,0,0
11-32-64,0,0,0,0,0,0,57,0,0,0,0
11-34-05,0,0,0,0,0,31,0,0,0,0,0
11-64-84,0,0,0,0,0,0,0,0,0,0,0
11-65-79,0,0,0,0,58,0,0,0,0,0,0
11-93-92,0,0,0,0,0,0,57,0,0,0,0
12-08-03,0,0,0,0,0,0,0,0,0,0,0
12-12-00,0,0,0,0,56,0,0,0,0,0,0
12-14-19,0,0,0,0,0,0,0,106,0,0,0
12-26-59,0,0,0,0,54,0,0,0,0,0,0
12-32-45,0,0,0,0,0,31,0,0,0,0,0
12-46-27,0,109,0,0,0,0,0,0,0,0,0
12-49-39,0,0,0,0,58,0,0,0,0,0,0
12-53-37,0,0,0,0,0,0,0,0,0,38,0
12-58-90,0,0,0,0,0,0,0,0,0,0,0
