date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
10-17-15,0,0,0,0,32,0,33,0,34,0,0
10-17-25,0,32,0,0,33,0,34,0,32,0,0
10-17-35,0,0,0,0,0,0,34,0,38,0,0
10-17-45,0,0,0,0,0,0,34,0,39,0,0
10-17-55,0,0,0,0,32,0,0,0,37,0,0
10-18-05,0,32,0,0,0,0,0,0,35,0,0
10-18-15,0,0,0,0,33,33,33,0,38,0,0
10-18-25,0,0,0,0,36,33,35,0,38,0,0
10-18-35,0,0,0,0,35,45,48,0,37,0,0
10-18-45,0,0,0,0,33,34,35,0,37,0,0
10-18-55,0,0,0,0,0,39,38,0,38,0,0
10-19-05,0,0,0,0,35,39,32,0,39,0,0
10-19-15,0,0,0,0,32,34,0,0,45,0,0
10-19-25,0,0,0,0,0,34,0,0,33,0,0
10-19-35,0,0,0,0,32,32,0,0,37,0,0
10-19-45,0,0,0,0,32,33,38,0,33,0,0
10-19-55,0,0,0,0,0,33,0,0,34,0,0
10-20-05,0,0,0,0,0,0,0,0,32,0,0
10-20-15,0,0,0,0,0,0,0,0,33,0,0
10-20-25,0,0,0,0,0,0,0,0,33,0,0
10-20-35,0,0,0,0,0,0,0,0,33,0,0
10-20-45,0,0,0,0,0,0,0,0,34,0,0
10-20-55,0,0,0,0,0,32,0,0,0,0,0
10-21-05,0,0,0,0,0,35,0,0,0,0,0
10-21-15,0,0,0,0,32,0,0,0,33,0,32
10-21-25,0,0,0,0,0,0,0,0,0,0,32
10-21-35,0,32,0,0,0,0,0,0,0,0,0
10-21-55,0,32,0,0,0,32,0,0,32,0,0
10-22-05,0,32,0,0,0,33,0,0,32,0,0
10-22-35,0,0,0,0,0,0,0,0,34,0,0
10-22-45,0,0,0,0,0,0,34,0,0,0,0
10-22-55,0,0,0,0,0,0,37,0,34,0,0
10-23-05,0,0,0,0,0,0,32,0,33,0,0
10-23-15,0,0,0,0,0,32,32,0,0,0,0
10-23-35,0,0,0,0,32,32,0,0,0,0,0
10-23-45,0,0,0,0,32,32,0,0,0,0,0
10-23-55,0,0,0,0,32,32,0,0,0,0,0
10-24-05,0,0,0,0,33,0,0,0,0,0,0
10-24-15,0,0,0,0,0,0,0,0,32,0,0
10-24-25,0,0,0,0,0,32,0,0,32,0,0
10-24-35,0,0,0,0,0,32,0,0,35,0,0
10-24-45,0,0,0,0,0,32,0,0,0,0,0
10-24-55,0,0,0,0,0,33,0,0,0,0,0
10-25-05,0,0,0,0,33,33,0,0,34,0,0
10-25-15,0,0,0,0,33,33,0,0,38,0,0
10-25-25,0,0,0,0,34,0,0,0,35,0,0
10-25-35,0,0,0,0,32,0,0,0,33,0,0
10-25-45,0,0,0,0,0,32,0,0,32,0,0
10-25-55,0,0,0,0,0,0,0,0,32,0,0
10-26-05,0,0,0,0,0,0,0,0,36,0,0
10-26-15,0,0,0,0,0,0,0,0,0,32,0
10-26-25,0,0,0,0,33,32,0,0,0,0,0
10-26-35,0,0,0,0,0,0,0,0,0,32,0
10-26-45,0,0,0,0,0,0,0,0,32,0,0
10-26-55,0,0,0,0,0,33,0,0,0,0,0
10-27-05,0,0,0,0,0,34,0,0,36,0,0
10-27-15,0,0,0,0,0,0,0,0,35,0,0
10-27-25,0,0,0,0,0,32,0,0,0,0,0
10-27-35,0,0,0,0,0,32,39,0,0,0,0
10-27-45,0,0,0,0,0,33,36,0,0,0,0
10-27-55,0,0,0,0,0,33,33,0,0,0,33
10-28-05,0,0,0,0,0,32,37,0,0,0,40
10-28-15,0,0,0,0,0,32,38,0,0,0,33
10-28-25,0,32,0,0,0,32,38,0,0,32,34
10-28-35,0,0,0,0,0,32,36,0,32,0,0
10-28-45,0,0,0,0,0,34,34,0,0,0,0
10-28-55,0,0,0,0,0,34,36,0,36,0,0
10-29-05,0,0,0,0,0,33,37,0,38,0,0
10-29-15,0,0,0,0,0,34,32,0,0,0,0
10-29-25,0,0,0,0,0,34,0,0,0,0,0
10-29-35,0,0,0,0,0,33,0,0,0,0,0
10-29-45,0,0,0,0,0,33,33,0,0,0,0
10-29-55,0,0,0,0,0,0,37,0,0,0,0
10-30-05,0,0,0,0,0,33,32,0,0,0,0
10-30-15,0,0,0,0,0,33,36,0,0,0,0
10-30-25,0,0,0,0,0,32,32,0,0,0,0
10-30-35,0,0,0,0,0,32,32,0,0,0,0
10-30-45,0,0,0,0,0,33,36,0,0,0,0
10-30-55,0,0,0,0,0,33,32,0,0,0,0
10-31-05,0,0,0,0,0,32,0,0,0,0,0
10-31-15,0,0,0,0,0,33,32,0,0,0,0
10-31-25,0,0,0,0,0,34,35,0,0,0,0
10-31-35,0,0,0,0,0,34,34,0,0,0,0
10-31-45,0,0,0,0,0,0,37,0,0,0,0
10-31-55,0,0,0,0,0,32,36,0,0,0,0
10-32-05,0,0,0,0,0,32,37,0,0,0,0
10-32-15,0,0,0,0,0,0,38,0,0,0,0
10-32-25,0,0,0,0,0,32,35,0,0,0,0
10-32-35,0,0,0,0,0,33,33,0,0,0,0
10-32-45,0,0,0,0,0,36,34,0,0,0,0
10-32-55,0,0,0,0,0,32,32,0,0,0,0
10-33-05,0,0,0,0,0,0,34,0,0,0,0
10-33-15,0,0,0,0,0,33,37,0,0,0,0
10-33-25,0,0,0,0,0,0,35,0,0,0,0
10-33-35,0,0,0,0,33,32,35,0,0,0,0
10-33-45,0,0,0,0,0,33,34,0,0,0,0
10-33-55,0,0,0,0,0,33,39,0,0,0,0
10-34-05,0,0,0,0,0,0,34,0,0,0,0
10-34-15,0,0,0,0,0,0,32,0,0,0,0
10-34-25,0,0,0,0,0,0,37,0,0,0,0
10-34-35,0,0,0,0,0,0,33,0,0,0,0
10-34-45,0,0,0,0,0,0,35,0,0,0,0
10-34-55,0,0,0,0,0,0,38,0,0,0,0
10-35-05,0,0,0,0,0,0,35,0,0,0,0
10-35-15,0,0,0,0,0,0,34,0,0,0,0
10-35-25,0,0,0,0,0,33,35,0,0,0,0
10-35-35,0,0,0,0,0,32,33,0,0,0,0
10-35-45,0,0,0,0,0,0,33,0,0,0,0
10-35-55,0,0,0,0,0,0,33,0,0,0,0
10-36-05,0,0,0,0,0,0,32,0,0,0,0
10-36-25,0,0,0,0,0,0,35,0,0,0,0
10-36-35,0,0,0,0,0,0,36,0,0,0,0
